Columna,Tipo_Dato,Rango_Valores,Obligatorio,Descripción,Ejemplo,Notas_Especiales
Presencia_Ironia,Booleano,SI | NO,SI,"¿Hay ironía detectada? (decir algo que contradice la realidad esperada con propósito expresivo)","SI, NO","Diferente del sarcasmo. Ej: 'Qué bien que El Salvador sea tan seguro' cuando la realidad es opuesta. Afecta sentimiento."
Contexto_Politico,Booleano,SI | NO,SI,"¿El contenido está relacionado a política, gobierno, elecciones, o debate sociopolítico?","SI, NO","SI si toca temas como: elecciones, políticos, ideología, régimen anterior/actual, violencia política, corrupción. Permite filtrar análisis por politización."
Confianza_Clasificador,Numérico,0.0 - 1.0,SI,"Score de confianza del anotador en su propia clasificación. 0.0 = muy inseguro, 1.0 = completamente seguro","0.95, 0.88, 0.65, 0.92","Usar escala: 0.90-1.0 = seguro; 0.75-0.89 = moderadamente seguro; 0.60-0.74 = poco seguro; <0.60 = muy ambiguo. Ayuda a identificar ejemplos difíciles."
Notas_Etiquetador,Texto,Libre (máx 500 caracteres),NO,"Notas contextuales del anotador. Por qué eligió esa clase. Qué hizo dudar. Contexto que influyó","Utiliza 'vos' típico de El Salvador. Insulto pero no dirigido a grupo; Ataque directo a grupo nacional. Contexto: debates sobre migración; Lenguaje fuerte pero sobre cosa (comida) no persona","Libre. Documentar ambigüedades, contexto histórico salvadoreño, razones de clasificación. Importante para debugging posterior."
Validado,Booleano,SI | NO,SI,"¿Fue revisado y validado por segunda persona independiente?","SI, NO","NO si aún está pendiente validación. Solo ejemplos con Validado=SI entran al dataset final."
Validador,Texto,Cristian | Dressler | Willian | vacío,SI,"Nombre de la persona que validó (DEBE ser diferente al Responsable para evitar sesgo)","Dressler, Cristian, Willian, (vacío si no validado)","Importante: Validador ≠ Responsable. Permite rotación: si Cristian recopiló, valida Dressler o Willian. Si vacío = pendiente."
Fecha_Validacion,Fecha,YYYY-MM-DD o vacío,NO,"Fecha en que se completó la validación. ISO 8601. Vacío si aún no validado","2026-05-15, 2026-06-20, (vacío si Validado=NO)","Tracking de cuándo se completó QA. Junto con Fecha_Recolección permite ver cuánto tiempo tomó validar."
Acuerdo_Validador,Booleano,SI | NO | Parcial,SI,"¿El validador está de acuerdo con la clasificación del responsable?","SI, NO, Parcial","SI = validador confirma la clase; NO = validador rechaza la clase; Parcial = validador acepta Clase_Toxicidad pero propone diferente Subclase."
Razon_Desacuerdo,Texto,"N/A, o descripción libre (máx 300 caracteres)","Condicional (obligatorio si Acuerdo_Validador ≠ SI)","Si hay desacuerdo, detallar POR QUÉ el validador discrepa. Ej: 'Podría ser Lenguaje Ofensivo sin contexto claro de grupo'","Podría ser Lenguaje Ofensivo sin contexto claro de grupo; Ambiguo entre Sexismo y Crítica Institucional; Sin suficiente contexto para clasificar; N/A","Crucial para entender casos límite. Usado para refinar guía de anotación y entrenar mejor."
Cohen_Kappa,Numérico,0.0 - 1.0,SI,"Métrica estadística de acuerdo entre anotador y validador. Calcula acuerdo controlando por azar. Se calcula después de validación.","0.89, 0.65, 0.94, 0.68","Umbral mínimo aceptable: 0.60 (acuerdo moderado). <0.60 = revisar guía de anotación y entrenar mejor. Se reporta por pareja (Responsable-Validador)."
Listo_Entrenamiento,Booleano,SI | NO,SI,"¿Este ejemplo está listo para usar en entrenamiento del modelo? Solo SI si: Validado=SI, Acuerdo=SI, Cohen_Kappa>=0.60","SI, NO","Filtro final. Dataset de entrenamiento = filas donde Listo_Entrenamiento=SI. Ejemplos con NO se mantienen para análisis pero no entrenan al modelo."
