ID,texto_original,label,origen,plantilla_id,subclase,texto_modelo
V3-00104,"No seás codo, pagá la cuenta vos",0,v3_jerga_notoxico,"jerga_notoxico|No seás {t}, pagá la cuenta vos",,"No seás codo, pagá la cuenta vos"
V3-00105,"Qué pereza leerte, kholer0",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Ya cállese, {t}",Insulto,"Qué pereza leerte, kholer0"
V3-00106,💀 Lo van a dejar frío,3,v3_emoji_clase3,emoji_clase3|emoji_💀,Personas enfermas,:calavera: Lo van a dejar frío
V3-00107,Quedó excelente el trabajo que hicieron,0,v3_jerga_control,jerga_control|Quedó {t} el trabajo que hicieron,,Quedó excelente el trabajo que hicieron
V3-00108,"Cerrá el hocico, kurs0",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|No hablés de lo que no sabés, {t}",nan,"Cerrá el hocico, kurs0"
V3-00109,"Mejor callate, m*ricon",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Hablando pura paja, {t}",Insulto,"Mejor callate, m*ricon"
V3-00110,Hay que fus1larlos a todos te lo juro,3,v3_amenaza_ofuscada,amenaza_ofuscada|Hay que {v}los a todos,Amenaza Directa,Hay que fus1larlos a todos te lo juro
V3-00111,"Qué 1mb3cil, en serio",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Qué {t}, en serio",Insulto,"Qué 1mb3cil, en serio"
V3-00112,Vamos a c o l g a r a ese maje acordate de esto,3,v3_amenaza_ofuscada,amenaza_ofuscada|Vamos a {v} a ese maje,Amenaza Directa,Vamos a c o l g a r a ese maje acordate de esto
V3-00113,"Por gente como vos está así el país, p4ras1tar",2,v3_odio_ofuscado,"odio_ofuscado|Aquí no te queremos, {t}",Xenofobia,"Por gente como vos está así el país, p4ras1tar"
V3-00114,Prestame el pelota para el pasaje porfa,0,v3_jerga_control,jerga_control|Prestame el {t} para el pasaje porfa,,Prestame el pelota para el pasaje porfa
V3-00115,"Qué e*cobas, en serio",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|No jodás más, {t}",Insulto,"Qué e*cobas, en serio"
V3-00116,Conocí a un venezolano muy amable ayer,0,v3_nacionalidad_notoxico,nacionalidad_notoxico|Conocí a un {gs} muy amable ayer,,Conocí a un venezolano muy amable ayer
V3-00117,Ojalá lo maaataren pronto vas a ver,3,v3_amenaza_ofuscada,amenaza_ofuscada|Ojalá lo {v}en pronto,Amenaza Directa,Ojalá lo maaataren pronto vas a ver
V3-00118,"Mientras más negros llegan, peor está todo 🦶",2,v3_emoji_clase2,emoji_clase2|emoji_🦶,Personas racializadas,"Mientras más negros llegan, peor está todo :pie:"
V3-00119,"Mejor callate, payas0",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|No jodás más, {t}",Insulto,"Mejor callate, payas0"
V3-00120,"Aquí no te queremos, inm1grante",2,v3_odio_ofuscado,"odio_ofuscado|No perteneces aquí, {t}",Xenofobia,"Aquí no te queremos, inm1grante"
V3-00121,El maje está bien tranquilo hoy,0,v3_jerga_notoxico,jerga_notoxico|El {t} está bien tranquilo hoy,,El maje está bien tranquilo hoy
V3-00122,"Cerrá el hocico, bayunco mar1con",1,v3_jerga_ofensivo,"jerga_ofensivo|Cerrá el hocico, {t}",Insulto Directo,"Cerrá el hocico, bayunco mar1con"
V3-00123,Lo van a l1nchar a ese te lo juro,3,v3_amenaza_ofuscada,amenaza_ofuscada|Lo van a {v} a ese,Amenaza Directa,Lo van a l1nchar a ese te lo juro
V3-00124,Te voy a fu5ilar acordate de esto,3,v3_amenaza_ofuscada,amenaza_ofuscada|Te voy a {v},Amenaza Directa,Te voy a fu5ilar acordate de esto
V3-00125,"Dejá de escribir, fer!a",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Me da igual lo que digas, {t}",Insulto,"Dejá de escribir, fer!a"
V3-00126,No respondo si lo llego a matar,3,v3_amenaza_ofuscada,amenaza_ofuscada|No respondo si lo llego a {v},Amenaza Directa,No respondo si lo llego a matar
V3-00127,"Cerrá el hocico, ker0te",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Otra vez vos, {t}",Insulto,"Cerrá el hocico, ker0te"
V3-00128,Qué yuca se ve el paisaje desde aquí,0,v3_jerga_notoxico,jerga_notoxico|Qué {t} se ve el paisaje desde aquí,,Qué yuca se ve el paisaje desde aquí
V3-00129,Qué difícil se ve el paisaje desde aquí,0,v3_jerga_control,jerga_control|Qué {t} se ve el paisaje desde aquí,,Qué difícil se ve el paisaje desde aquí
V3-00130,Ese haraqan otra vez 🇺🇸🦅💩,1,v3_emoji_clase1,emoji_clase1|emoji_🇺🇸🦅💩,Estadounidenses,Ese haraqan otra vez :bandera_estados_unidos: :águila: :caca_con_ojos:
V3-00131,"Andate a tu país, valieron verg@",2,v3_odio_ofuscado,"odio_ofuscado|Ojalá te deporten, {t}",Xenofobia,"Andate a tu país, valieron verg@"
V3-00132,Ningún indígena debería estar aquí,2,v3_odio_grupo,odio_grupo|Ningún {gs} debería estar aquí,Xenofobia,Ningún indígena debería estar aquí
V3-00133,"Todos los venezolanos son basura, sin excepción",2,v3_odio_grupo,"odio_grupo|Todos los {g} {p}, sin excepción",Xenofobia,"Todos los venezolanos son basura, sin excepción"
V3-00134,Vamos a ver al chucho el domingo,0,v3_jerga_notoxico,jerga_notoxico|Vamos a ver al {t} el domingo,,Vamos a ver al chucho el domingo
V3-00135,"No sabés nada, m*ntenida",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Cerrá el hocico, {t}",Insulto,"No sabés nada, m*ntenida"
V3-00136,Mi vecino es nicaragüense y es buena gente,0,v3_nacionalidad_notoxico,nacionalidad_notoxico|Mi vecino es {gs} y es buena gente,,Mi vecino es nicaragüense y es buena gente
V3-00137,Nos vemos en la pachanga del sábado 🙏,0,v3_emoji_benigno,emoji_benigno|benigno_🙏,,Nos vemos en la pachanga del sábado :manos_en_oración:
V3-00138,Ya quisiera fuuusilar a ese maje ya vas a ver,3,v3_amenaza_ofuscada,amenaza_ofuscada|Ya quisiera {v} a ese maje,Amenaza Directa,Ya quisiera fuuusilar a ese maje ya vas a ver
V3-00139,Saludos al perro de mi parte,0,v3_jerga_control,jerga_control|Saludos al {t} de mi parte,,Saludos al perro de mi parte
V3-00140,La comida de los hondureños está buenísima,0,v3_nacionalidad_notoxico,nacionalidad_notoxico|La comida de los {g} está buenísima,,La comida de los hondureños está buenísima
V3-00141,"Sos lo peor que hay, idiot@",1,v3_ofensivo_ofuscado,ofensivo_ofuscado|Sos un {t} y punto,Insulto,"Sos lo peor que hay, idiot@"
V3-00142,Quedó tuanis el trabajo que hicieron,0,v3_jerga_notoxico,jerga_notoxico|Quedó {t} el trabajo que hicieron,,Quedó tuanis el trabajo que hicieron
V3-00143,Puro vergas0 el que escribió eso,1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Ya me hartaste, {t}",Palabras obscenas,Puro vergas0 el que escribió eso
V3-00144,Me dan ganas de gooolpearlo anotalo,3,v3_amenaza_ofuscada,amenaza_ofuscada|Me dan ganas de {v}lo,Amenaza Directa,Me dan ganas de gooolpearlo anotalo
V3-00145,Ese chakal1n otra vez,1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Me da igual lo que digas, {t}",Insulto,Ese chakal1n otra vez
V3-00146,Los negros son mierda y nadie lo dice 🥷,2,v3_emoji_clase2,emoji_clase2|emoji_🥷,Afrodescendientes,Los negros son mierda y nadie lo dice :ninja:
V3-00147,"Que se vayan los gordos, son mierda 🐖",2,v3_emoji_clase2,emoji_clase2|emoji_🐖,Personas con sobrepeso,"Que se vayan los gordos, son mierda :cerdo:"
V3-00148,"Todos los tarados son basura, sin excepción 🧠❓",2,v3_emoji_clase2,emoji_clase2|emoji_🧠❓,Personas con discapacidad intelectual,"Todos los tarados son basura, sin excepción :cerebro: :interrogación_roja:"
V3-00149,Deberían torturar a todos esos acordate de esto,3,v3_amenaza_ofuscada,amenaza_ofuscada|Deberían {v} a todos esos,Amenaza Directa,Deberían torturar a todos esos acordate de esto
V3-00150,Puro cul3ro el que escribió eso,1,v3_ofensivo_ofuscado,ofensivo_ofuscado|Sos un {t} y punto,Insulto,Puro cul3ro el que escribió eso
V3-00151,"Qué asco das, ch1mbad4s",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Nadie te preguntó, {t}",Palabras obscenas,"Qué asco das, ch1mbad4s"
V3-00152,"Regresate de donde viniste, khapiad0ra",2,v3_odio_ofuscado,"odio_ofuscado|No perteneces aquí, {t}",Sexismo,"Regresate de donde viniste, khapiad0ra"
V3-00153,"Regresate de donde viniste, mejis1mio",2,v3_odio_ofuscado,"odio_ofuscado|No perteneces aquí, {t}",Xenofobia,"Regresate de donde viniste, mejis1mio"
V3-00154,Los pobres sobran en este 🐀 país y nadie lo dice,2,v3_emoji_clase2,emoji_clase2|emoji_🐀,Migrantes y personas empobrecidas,Los pobres sobran en este :rata: país y nadie lo dice
V3-00155,Ese chero nunca falla cuando se le necesita,0,v3_jerga_notoxico,jerga_notoxico|Ese {t} nunca falla cuando se le necesita,,Ese chero nunca falla cuando se le necesita
