ID,Plataforma,fecha,Usuario_ID_Anonimizado,texto_original,texto_modelo,texto_agresivo,clase,label,subclase,Grupos_Afectados,Presencia_Sarcasmo,Presencia_Ironia,Contexto_Politico,n_chars,n_palabras,n_emojis,n_menciones,n_hashtags,n_jerga,origen,plantilla_id
2388,Facebook,2026-07-22,USER_2388,Esta pendeja ni chimar a de poder??????,Esta pendeja ni chimar a de poder??????,esta pendeja ni chimar a de poder,Lenguaje Ofensivo,1,Insulto Directo,Mujeres,NO,NO,NO,39,7,0,0,0,1,real,
2896,X,2026-06-20,USER_2896,"Si se quieren apropiar de lo de colombia, son unos malagradecidos esos inmigrantes de mierda.","Si se quieren apropiar de lo de colombia, son unos malagradecidos esos inmigrantes de mierda.",si se quieren apropiar de lo de colombia son unos malagradecidos esos inmigrantes de mierda,Discurso de Odio,2,Xenofobia,Personas inmigrantes,NO,NO,NO,93,15,0,0,0,2,real,
SYN-0708,Facebook,,SINTETICO,Alguien debería matarte a ese tipo,Alguien debería matarte a ese tipo,alguien deberia matarte a ese tipo,Amenazas/Violencia,3,Incitación a la Violencia,,NO,NO,NO,34,6,0,0,0,0,sintetico_amenaza_ofuscada,AM-OFU-0078
SYN-0266,Facebook,,SINTETICO,El equipo argentino salió campeón del torneo,El equipo argentino salió campeón del torneo,el equipo argentino salio campeon del torneo,No Tóxico,0,,,NO,NO,NO,44,7,0,0,0,0,sintetico_nacionalidad_notoxico,NT-NAC-0041
SYN-0262,Facebook,,SINTETICO,La comunidad judía celebró su festividad este fin de semana,La comunidad judía celebró su festividad este fin de semana,la comunidad judia celebro su festividad este fin de semana,No Tóxico,0,,,NO,NO,NO,59,10,0,0,0,0,sintetico_nacionalidad_notoxico,NT-NAC-0037
1880,X,2026-07-08,USER_1880,"Al mundo le vale VERGA, a El Salvador le vale VERGA, a todos nos vale VERGA es más a mí también me vale VERGA gran pendejo","Al mundo le vale VERGA, a El Salvador le vale VERGA, a todos nos vale VERGA es más a mí también me vale VERGA gran pendejo",al mundo le vale verga a el salvador le vale verga a todos nos vale verga es mas a mi tambien me vale verga gran pendejo,Lenguaje Ofensivo,1,Insulto Directo,Persona Individual,SÍ,SÍ,NO,122,26,0,0,0,2,real,
SYN-0901,X,,SINTETICO,🐒🇪🇨 Puros son los que llegan a este país,:mono: :bandera_ecuador: Puros son los que llegan a este país,puros son los que llegan a este pais,Discurso de Odio,2,Estigmatización cultural,,NO,NO,NO,40,9,2,0,0,0,sintetico_relleno_emoji,RELL-0021
SYN-0545,X,,SINTETICO,Te voy a buscar y ya sabés qué pasa ⚰️💀,Te voy a buscar y ya sabés qué pasa :ataúd: :calavera:,te voy a buscar y ya sabes que pasa,Amenazas/Violencia,3,Amenaza Directa,,NO,NO,NO,39,10,2,0,0,0,sintetico_emoji_amenaza,AM-EMO-0045
2752,X,2026-06-10,USER_2752,"Ahora hay que matar españolessssss, moros de mierda, hijos de mil putass","Ahora hay que matar españolessssss, moros de mierda, hijos de mil putass",ahora hay que matar espanolessssss moros de mierda hijos de mil putass,Amenazas/Violencia,3,Incitación a la Violencia,Personas musulmanas,NO,NO,NO,72,12,0,0,0,2,real,
2632,X,2026-07-04,USER_2632,TU PROFESOR ES UN REVERENDO PUTO QUE SE HACE EL ANTIMIGRANTES DESDE LA COMPUTADORA PERO CUANDO PASA POR LA VILLA A HACHA LA CABEZA PORQUE NO LE DAN LOS HUEVOS PARA IR Y REALMENTE HACERLA LA GUERRA A LOS INMIGRANTES DE MIERDA,TU PROFESOR ES UN REVERENDO PUTO QUE SE HACE EL ANTIMIGRANTES DESDE LA COMPUTADORA PERO CUANDO PASA POR LA VILLA A HACHA LA CABEZA PORQUE NO LE DAN LOS HUEVOS PARA IR Y REALMENTE HACERLA LA GUERRA A LOS INMIGRANTES DE MIERDA,tu profesor es un reverendo puto que se hace el antimigrantes desde la computadora pero cuando pasa por la villa a hacha la cabeza porque no le dan los huevos para ir y realmente hacerla la guerra a los inmigrantes de mierda,Amenazas/Violencia,3,Incitación a la Violencia,Personas inmigrantes,NO,NO,NO,224,42,0,0,0,4,real,
SYN-0814,Facebook,,SINTETICO,🤡 Callate ya que hartás con lo mismo,:cara_de_payaso: Callate ya que hartás con lo mismo,callate ya que hartas con lo mismo,Lenguaje Ofensivo,1,Tono Agresivo,,NO,NO,NO,36,8,1,0,0,1,sintetico_emoji_ofensivo,OF-EMO-0046
2561,Facebook,2026-07-21,USER_2561,Bravo estos c rotes xq te trabaja más el cerebro q ellos ?? hasta haciendo pendejadas piensas más q la mayoría de guanak0s chupa verga de Bukele,Bravo estos c rotes xq te trabaja más el cerebro q ellos ?? hasta haciendo pendejadas piensas más q la mayoría de guanak0s chupa verga de Bukele,bravo estos c rotes xq te trabaja mas el cerebro q ellos hasta haciendo pendejadas piensas mas q la mayoria de guanak s chupa verga de bukele,Lenguaje Ofensivo,1,Tono Agresivo,Salvadoreños,NO,SI,NO,144,27,0,0,0,1,real,
1977,X,2026-06-14,USER_1977,"que chingue a su madre la presirvienta junto contigo bastardo de mierda,, has de ser un chilango cagado,,,,seguro has de ser producto de una violación,,,,por eso tu comentario bergero","que chingue a su madre la presirvienta junto contigo bastardo de mierda,, has de ser un chilango cagado,,,,seguro has de ser producto de una violación,,,,por eso tu comentario bergero",que chingue a su madre la presirvienta junto contigo bastardo de mierda has de ser un chilango cagado seguro has de ser producto de una violacion por eso tu comentario bergero,Lenguaje Ofensivo,1,Insulto Directo,Persona Individual,NO,NO,SÍ,183,29,0,0,0,1,real,
2989,X,2026-06-27,USER_2989,wacho. pfff...NEGROS DE MIERDA. villero de mierda el bolita.,wacho. pfff...NEGROS DE MIERDA. villero de mierda el bolita.,wacho pfff negros de mierda villero de mierda el bolita,Discurso de Odio,2,Racismo,Personas negras o racializadas,NO,NO,NO,60,9,0,0,0,2,real,
430,X,2026-07-14,USER_430,Hsy q hacer justicia por nuestras propias manos marero y ladron visto laxron y marero muerto esa es la consigna,Hsy q hacer justicia por nuestras propias manos marero y ladron visto laxron y marero muerto esa es la consigna,hsy q hacer justicia por nuestras propias manos marero y ladron visto laxron y marero muerto esa es la consigna,Amenazas/Violencia,3,Incitación a la Violencia,Pandilleros/Mareros,NO,NO,NO,111,20,0,0,0,3,real,
1732,X,2026-06-04,USER_1732,Algo pendejo ese paisano que contestó.,Algo pendejo ese paisano que contestó.,algo pendejo ese paisano que contesto,Lenguaje Ofensivo,1,Insulto Directo,Persona Individual,NO,NO,SÍ,38,6,0,0,0,1,real,
1404,Facebook,2026-06-25,USER_1404,Deberían mantener sus culeradas en secreto.....,Deberían mantener sus culeradas en secreto.....,deberian mantener sus culeradas en secreto,Lenguaje Ofensivo,1,Insulto Directo,Persona Individual,SÍ,NO,NO,47,6,0,0,0,0,real,
143,X,2026-07-13,USER_143,"Procesión al Divino Salvador del Mundo recorrió varias calles en Arlington, Virginia. Muestra de la devoción de nuestra gente. #SalvadoreñosenelMundo","Procesión al Divino Salvador del Mundo recorrió varias calles en Arlington, Virginia. Muestra de la devoción de nuestra gente. #SalvadoreñosenelMundo",procesion al divino salvador del mundo recorrio varias calles en arlington virginia muestra de la devocion de nuestra gente salvadorenosenelmundo,No Tóxico,0,,,NO,NO,SÍ,149,20,0,0,1,0,real,
1675,X,2026-06-02,USER_1675,Falso puro gorgojo ardido y si fuera cierto cuanto cuesta un ladrillo de esos unas 2 coras 🤭,Falso puro gorgojo ardido y si fuera cierto cuanto cuesta un ladrillo de esos unas 2 coras :cara_con_mano_sobre_la_boca:,falso puro gorgojo ardido y si fuera cierto cuanto cuesta un ladrillo de esos unas coras,Lenguaje Ofensivo,1,Insulto Directo,,SÍ,NO,SÍ,92,18,1,0,0,0,real,
407,X,2026-07-14,USER_407,No hay marcha atrás. El régimen de excepción debe continuar hasta que los terroristas pandilleros sean exterminados de la fas de la tierra salvadoreña. #SeguimosGuerraContraLasPandillas,No hay marcha atrás. El régimen de excepción debe continuar hasta que los terroristas pandilleros sean exterminados de la fas de la tierra salvadoreña. #SeguimosGuerraContraLasPandillas,no hay marcha atras el regimen de excepcion debe continuar hasta que los terroristas pandilleros sean exterminados de la fas de la tierra salvadorena seguimosguerracontralaspandillas,Amenazas/Violencia,3,Incitación a la Violencia,Pandilleros/Mareros,NO,NO,SÍ,185,25,0,0,1,2,real,
2393,Facebook,2026-07-21,USER_2393,"¿no te sabes otra cosa? Como si ""trepamuros"" nos ofendiera, tienes un país de mierda y ese es el insulto para ti.","¿no te sabes otra cosa? Como si ""trepamuros"" nos ofendiera, tienes un país de mierda y ese es el insulto para ti.",no te sabes otra cosa como si trepamuros nos ofendiera tienes un pais de mierda y ese es el insulto para ti,Discurso de Odio,2,Estigmatización nacional,Migrantes,NO,NO,NO,113,22,0,0,0,1,real,
524,Facebook,2026-07-14,USER_524,ES MAS FÁCIL QUE UN CAMELLO ENTRE EN EL OJAL DE UNA AGUJA QUE LA SELECTA VAYA A UN MUNDIAL. JAJAJA JAJAJA JAJAJA JAJAJA.,ES MAS FÁCIL QUE UN CAMELLO ENTRE EN EL OJAL DE UNA AGUJA QUE LA SELECTA VAYA A UN MUNDIAL. JAJAJA JAJAJA JAJAJA JAJAJA.,es mas facil que un camello entre en el ojal de una aguja que la selecta vaya a un mundial jajaja jajaja jajaja jajaja,No Tóxico,0,,,NO,NO,NO,120,24,0,0,0,0,real,
2404,Facebook,2026-07-21,USER_2404,"Gracias a Papadio que no sé quiénes son esos especímenes, pero se ve que no son buenas piezas","Gracias a Papadio que no sé quiénes son esos especímenes, pero se ve que no son buenas piezas",gracias a papadio que no se quienes son esos especimenes pero se ve que no son buenas piezas,Lenguaje Ofensivo,1,Burla,Personas en situación de pobreza,SI,NO,NO,93,18,0,0,0,0,real,
SYN-0639,Facebook,,SINTETICO,Te voy a qu3m4r,Te voy a qu3m4r,te voy a qu m r,Amenazas/Violencia,3,Amenaza Directa,,NO,NO,NO,15,4,0,0,0,0,sintetico_amenaza_ofuscada,AM-OFU-0009
1452,Facebook,2026-06-14,USER_1452,Cobarde basura despues de andar de chismosa ahora sales corriendo pedazo de 💩 💩 💩 💩,Cobarde basura despues de andar de chismosa ahora sales corriendo pedazo de :caca_con_ojos: :caca_con_ojos: :caca_con_ojos: :caca_con_ojos:,cobarde basura despues de andar de chismosa ahora sales corriendo pedazo de,Lenguaje Ofensivo,1,Insulto Directo,Persona Individual,NO,NO,SÍ,83,16,4,0,0,1,real,
SYN-0966,Facebook,,SINTETICO,"No entiendo cómo 🏳️‍🌈🤨 los dejan entrar, son","No entiendo cómo :bandera_blanca: :arcoíris: :cara_con_ceja_alzada: los dejan entrar, son",no entiendo como los dejan entrar son,Discurso de Odio,2,Estigmatización cultural,,NO,NO,NO,44,8,2,0,0,0,sintetico_relleno_emoji,RELL-0086
SYN-0940,X,,SINTETICO,Mientras más lejos estén esos mejor para todos 🧼,Mientras más lejos estén esos mejor para todos :jabón:,mientras mas lejos esten esos mejor para todos,Discurso de Odio,2,Estigmatización cultural,,NO,NO,NO,48,9,1,0,0,0,sintetico_relleno_emoji,RELL-0060
1047,Facebook,2026-06-10,USER_1047,Yo Le Diría Parásitos Mantenidos,Yo Le Diría Parásitos Mantenidos,yo le diria parasitos mantenidos,Lenguaje Ofensivo,1,Insulto Directo,Persona Individual,NO,NO,NO,32,5,0,0,0,1,real,
1794,X,2026-06-07,USER_1794,Otro Pendejo. Hablando y repetiendo las pendejadas De la oposición internacional. Los Salvadoreños Mandamos en El Salvador. Lo que diga este tarado me lo paso por el arco del triunfo. ….,Otro Pendejo. Hablando y repetiendo las pendejadas De la oposición internacional. Los Salvadoreños Mandamos en El Salvador. Lo que diga este tarado me lo paso por el arco del triunfo. ….,otro pendejo hablando y repetiendo las pendejadas de la oposicion internacional los salvadorenos mandamos en el salvador lo que diga este tarado me lo paso por el arco del triunfo,Lenguaje Ofensivo,1,Insulto Directo,Persona Individual,NO,NO,SÍ,186,31,0,0,0,1,real,
1602,X,2026-05-30,USER_1602,Amigo de la perra que te cagó es. Y se la pisan entre los dos todos los días,Amigo de la perra que te cagó es. Y se la pisan entre los dos todos los días,amigo de la perra que te cago es y se la pisan entre los dos todos los dias,Lenguaje Ofensivo,1,Palabras Obscenas,Persona Individual,NO,NO,NO,76,18,0,0,0,1,real,
763,Facebook,2026-07-16,USER_763,Al cecote para que les valla hacer comida Nayib Bukele PNC,Al cecote para que les valla hacer comida Nayib Bukele PNC,al cecote para que les valla hacer comida nayib bukele pnc,No Tóxico,0,,Pandilleros/Mareros,NO,NO,NO,58,11,0,0,0,0,real,
1466,Facebook,2026-06-14,USER_1466,Y vos PERRO Paul Monroy 503 PARASITO SIEMPRE LAMBIÉNDOLE LOS 🥚ARENAFRENTE MISERABLE NUNCA HAS LOGRADO NADA BASURA,Y vos PERRO Paul Monroy 503 PARASITO SIEMPRE LAMBIÉNDOLE LOS :huevo: ARENAFRENTE MISERABLE NUNCA HAS LOGRADO NADA BASURA,y vos perro paul monroy parasito siempre lambiendole los arenafrente miserable nunca has logrado nada basura,Lenguaje Ofensivo,1,Insulto Directo,Persona Individual,NO,NO,SÍ,113,17,1,0,0,3,real,
SYN-0970,Facebook,,SINTETICO,Ya está bueno de 🏳️‍🌈👀 aguantar a esos en el barrio,Ya está bueno de :bandera_blanca: :arcoíris: :ojos: aguantar a esos en el barrio,ya esta bueno de aguantar a esos en el barrio,Discurso de Odio,2,Estigmatización cultural,,NO,NO,NO,51,11,2,0,0,0,sintetico_relleno_emoji,RELL-0090
932,Facebook,2026-07-24,USER_932,Excelente k se pudra en prisión ya van a salir unos diciendo k injusto es el presidente por mi 40 años le hubiese puesto,Excelente k se pudra en prisión ya van a salir unos diciendo k injusto es el presidente por mi 40 años le hubiese puesto,excelente k se pudra en prision ya van a salir unos diciendo k injusto es el presidente por mi anos le hubiese puesto,Amenazas/Violencia,3,Deseo de Daño,Individuo,NO,NO,SÍ,120,24,0,0,0,0,real,
SYN-0554,Facebook,,SINTETICO,Se merece que le pase algo feo 💀,Se merece que le pase algo feo :calavera:,se merece que le pase algo feo,Amenazas/Violencia,3,Deseo de Daño,,NO,NO,NO,32,8,1,0,0,0,sintetico_emoji_amenaza,AM-EMO-0054
1152,Facebook,2026-06-25,USER_1152,Grancosa vieja tapuda,Grancosa vieja tapuda,grancosa vieja tapuda,Lenguaje Ofensivo,1,Insulto Directo,Persona Individual,SÍ,SÍ,NO,21,3,0,0,0,0,real,
2667,X,2026-06-03,USER_2667,Estoy en un restaurante y absolutamente todos gritaron el gol. El odio a esos sudacas de mierda es universal. Y EN LAS MALVINAS SE HABLA INGLÉS.,Estoy en un restaurante y absolutamente todos gritaron el gol. El odio a esos sudacas de mierda es universal. Y EN LAS MALVINAS SE HABLA INGLÉS.,estoy en un restaurante y absolutamente todos gritaron el gol el odio a esos sudacas de mierda es universal y en las malvinas se habla ingles,Discurso de Odio,2,Xenofobia,Personas latinoamericanas,NO,NO,NO,144,26,0,0,0,1,real,
SYN-0909,Facebook,,SINTETICO,🐒🇻🇪 así son todos los venezolanos,:mono: :bandera_venezuela: así son todos los venezolanos,asi son todos los venezolanos,Discurso de Odio,2,Estigmatización cultural,,NO,NO,NO,33,6,2,0,0,0,sintetico_relleno_emoji,RELL-0029
SYN-0564,Facebook,,SINTETICO,"Ya te tenemos ubicado, 💀 esperá nomás","Ya te tenemos ubicado, :calavera: esperá nomás",ya te tenemos ubicado espera nomas,Amenazas/Violencia,3,Amenaza Directa,,NO,NO,NO,37,7,1,0,0,0,sintetico_emoji_amenaza,AM-EMO-0064
SYN-0990,Facebook,,SINTETICO,Mientras más lejos estén 🤤 esos mejor para todos,Mientras más lejos estén :cara_babeando: esos mejor para todos,mientras mas lejos esten esos mejor para todos,Discurso de Odio,2,Estigmatización cultural,,NO,NO,NO,48,9,1,0,0,0,sintetico_relleno_emoji,RELL-0110
SYN-0233,Facebook,,SINTETICO,Los nicaragüenses que viven aquí trabajan muy duro 🫶,Los nicaragüenses que viven aquí trabajan muy duro :manos_formando_un_corazón:,los nicaraguenses que viven aqui trabajan muy duro,No Tóxico,0,,,NO,NO,NO,52,9,1,0,0,0,sintetico_nacionalidad_notoxico,NT-NAC-0008
SYN-0822,X,,SINTETICO,Qué asco de administración tienen 🤡,Qué asco de administración tienen :cara_de_payaso:,que asco de administracion tienen,Lenguaje Ofensivo,1,Crítica Institucional,,NO,NO,NO,35,6,1,0,0,0,sintetico_emoji_ofensivo,OF-EMO-0054
SYN-0131,Facebook,,SINTETICO,"Puchica, se me pasó 😍 la hora de la cita","Puchica, se me pasó :cara_sonriendo_con_ojos_de_corazón: la hora de la cita",puchica se me paso la hora de la cita,No Tóxico,0,,,NO,NO,NO,40,10,1,0,0,0,sintetico_jerga_notoxico,NT-JER-0006
1878,X,2026-07-08,USER_1878,Entendes eso pendejo o se te hace un dibujo ?,Entendes eso pendejo o se te hace un dibujo ?,entendes eso pendejo o se te hace un dibujo,Lenguaje Ofensivo,1,Insulto Directo,Persona Individual,SÍ,NO,SÍ,45,10,0,0,0,1,real,
SYN-0923,Facebook,,SINTETICO,Puros son los que llegan a este país 🐒🇸🇻,Puros son los que llegan a este país :mono: :bandera_el_salvador:,puros son los que llegan a este pais,Discurso de Odio,2,Estigmatización cultural,,NO,NO,NO,40,9,2,0,0,0,sintetico_relleno_emoji,RELL-0043
1106,Facebook,2026-06-24,USER_1106,Por hay por hay dijo aquel pónganlos de rodillas por cobardes frente a a frente,Por hay por hay dijo aquel pónganlos de rodillas por cobardes frente a a frente,por hay por hay dijo aquel ponganlos de rodillas por cobardes frente a a frente,Lenguaje Ofensivo,1,Tono Agresivo,,NO,NO,SÍ,79,15,0,0,0,0,real,
81,X,2026-07-13,USER_081,¿Con qué acompañarías estos ricos “rollitos de verdura con carne de res”? ¡Continúa en nuestra sintonía! #LaChilena #ComidaSalvadoreña,"¿Con qué acompañarías estos ricos ""rollitos de verdura con carne de res""? ¡Continúa en nuestra sintonía! #LaChilena #ComidaSalvadoreña",con que acompanarias estos ricos rollitos de verdura con carne de res continua en nuestra sintonia lachilena comidasalvadorena,No Tóxico,0,,,NO,NO,NO,134,18,0,0,2,1,real,
SYN-1035,Facebook,,SINTETICO,"No entiendo cómo los dejan entrar, son 🐶","No entiendo cómo los dejan entrar, son :cara_de_perro:",no entiendo como los dejan entrar son,Discurso de Odio,2,Estigmatización cultural,,NO,NO,NO,40,8,1,0,0,0,sintetico_relleno_emoji,RELL-0155
2032,X,2026-06-14,USER_2032,😅😅😅😅😅😅😅😅😅😂😂😂😂😂 así es que se contesta a una mamerta mequetrefe carajo!! 😂😂😂😂😂,:cara_sonriendo_con_sudor_frío: :cara_sonriendo_con_sudor_frío: :cara_sonriendo_con_sudor_frío: :cara_sonriendo_con_sudor_frío: :cara_sonriendo_con_sudor_frío: :cara_sonriendo_con_sudor_frío: :cara_sonriendo_con_sudor_frío: :cara_sonriendo_con_sudor_frío: :cara_sonriendo_con_sudor_frío: :cara_llorando_de_risa: :cara_llorando_de_risa: :cara_llorando_de_risa: :cara_llorando_de_risa: :cara_llorando_de_risa: así es que se contesta a una mamerta mequetrefe carajo!! :cara_llorando_de_risa: :cara_llorando_de_risa: :cara_llorando_de_risa: :cara_llorando_de_risa: :cara_llorando_de_risa:,asi es que se contesta a una mamerta mequetrefe carajo,Lenguaje Ofensivo,1,Insulto Directo,Persona Individual,SÍ,NO,SÍ,77,12,19,0,0,0,real,
2895,X,2026-06-15,USER_2895,@IreneMontero tus inmigrantes de mierda,@usuario tus inmigrantes de mierda,usuario tus inmigrantes de mierda,Discurso de Odio,2,Xenofobia,Personas inmigrantes,NO,NO,NO,39,5,0,1,0,2,real,
586,Facebook,2026-07-14,USER_586,Tan guapa como siempre,Tan guapa como siempre,tan guapa como siempre,No Tóxico,0,,,NO,NO,NO,22,4,0,0,0,0,real,
SYN-0777,X,,SINTETICO,Puras babosadas las que escribe 🖕,Puras babosadas las que escribe :dedo_corazón_hacia_arriba:,puras babosadas las que escribe,Lenguaje Ofensivo,1,Tono Agresivo,,NO,NO,NO,33,6,1,0,0,0,sintetico_emoji_ofensivo,OF-EMO-0009
SYN-0105,X,,SINTETICO,Le quedó preciosa la decoración de la casa 🎉,Le quedó preciosa la decoración de la casa :cañón_de_confeti:,le quedo preciosa la decoracion de la casa,No Tóxico,0,,,NO,NO,NO,44,9,1,0,0,0,sintetico_emoji_notoxico,NT-EMO-0105
SYN-0651,X,,SINTETICO,Lo van a m*tar a ese,Lo van a m*tar a ese,lo van a m tar a ese,Amenazas/Violencia,3,Amenaza Directa,,NO,NO,NO,20,6,0,0,0,0,sintetico_amenaza_ofuscada,AM-OFU-0021
