ID,emoji,descripcion_uso,clase_asociada,subclase,grupos_afectados,n_codepoints
EMO-032,💀,Deseo de muerte o burla por enfermedad grave,Amenazas/Violencia,Deseo de Daño,Personas enfermas,1
EMO-033,⚰️,Burla por muerte o enfermedad terminal,Amenazas/Violencia,Deseo de Daño,Personas enfermas,2
EMO-034,🧟,Deshumanización de seguidores políticos,Lenguaje Ofensivo,Descalificación Política,Colectivo político,1
EMO-035,🪳,Comparación con cucarachas: desprecio extremo e invasión,Discurso de Odio,Aporofobia,Migrantes y grupos étnicos,1
EMO-036,🪲,Comparación con cucarachas: desprecio extremo e invasión,Discurso de Odio,Aporofobia,Migrantes y grupos étnicos,1
EMO-037,🌑,Referencia despectiva encubierta a la tez oscura,Discurso de Odio,Racismo,Personas racializadas,1
EMO-038,🚽🧻,Cosificación como desecho aplicada a personas,Discurso de Odio,Aporofobia,Migrantes y personas empobrecidas,2
EMO-039,🚽,Cosificación como desecho aplicada a personas,Discurso de Odio,Aporofobia,Migrantes y personas empobrecidas,1
EMO-040,👨‍🌾🐒,Burla racista hacia personas indígenas o campesinas,Discurso de Odio,Racismo,Pueblos indígenas,4
EMO-041,🇮🇱🤢,Rechazo antisemita disfrazado de crítica política,Discurso de Odio,Antisemitismo,Judíos e israelíes,3
EMO-042,🇺🇸🦅💩,Desprecio nacional hacia estadounidenses,Lenguaje Ofensivo,Crítica Institucional,Estadounidenses,4
EMO-043,🧹👷,Eliminacionismo: 'barrer' o 'limpiar' a un grupo,Amenazas/Violencia,Incitación a la Violencia,Migrantes y grupos étnicos,2
EMO-044,🧹,Eliminacionismo: 'barrer' o 'limpiar' a un grupo,Amenazas/Violencia,Incitación a la Violencia,Migrantes y grupos étnicos,1
EMO-045,🐋🚫,Rechazo a personas con sobrepeso,Discurso de Odio,Gordofobia,Personas con sobrepeso,2
EMO-046,🐋,Rechazo a personas con sobrepeso,Discurso de Odio,Gordofobia,Personas con sobrepeso,1
EMO-047,🔫,Amenaza con arma de fuego,Amenazas/Violencia,Amenaza Directa,Individuo,1
EMO-048,🔪,Amenaza con arma blanca,Amenazas/Violencia,Amenaza Directa,Individuo,1
EMO-049,💣,Amenaza explosiva,Amenazas/Violencia,Amenaza Directa,Colectivo,1
EMO-050,🪦,Deseo de muerte,Amenazas/Violencia,Deseo de Daño,Individuo,1
EMO-051,⚱️,Deseo de muerte,Amenazas/Violencia,Deseo de Daño,Individuo,2
