ID,Responsable,Plataforma,Fecha_Recolección,Texto_Original,URL_Original,Usuario_ID_Anonimizado,Clase_Toxicidad,Subclase_Toxicidad,Grupos_Afectados,Lenguaje_Dialectal,Presencia_Sarcasmo,Presencia_Ironia,Contexto_Politico,Confianza_Clasificador,Notas_Etiquetador,Validado,Validador,Fecha_Validacion,Acuerdo_Validador,Razon_Desacuerdo,Cohen_Kappa,Listo_Entrenamiento
837,Willian,X,2026-07-14,"Me comentan que hay un  empresario de la zona oriental pone a disposición extenso terreno que servirá de fosa como para unos 5,000 mareros.",https://x.com/LaVallaSv/status/590359532699721728,USER_223,Amenazas/Violencia,Incitación a la Violencia (a grupo),Pandilleros/Mareros,Salvadoreño,NO,NO,NO,0.85,"Descripción de oferta de terreno como fosa común para 5,000 mareros; incitación extrema a matanza masiva.",NO,,,,N/A,,NO
127,Cristian,Facebook,2026-06-24,Así andan mucho en esos carrito.en aguilares locos y sin licencia,https://www.facebook.com/ElSalvadorNoticiasSV/posts/pfbid02kYqa3MvqDYkNiXdMUZLmyWLqRrV3GSYVaQgqmX5T5UMu6ErmjRPyqD6ejtWdJrDJl?comment_id=1005772299082666,USR_00000014,No Tóxico,No Aplica,Ninguno,Salvadoreño,No,No,Sí,0.80,"No hay insulto, amenaza ni ataque discriminatorio evidente. Usa voseo, caliche o léxico registrado como salvadoreñismo.",No,,,,,,Sí
519,Willian,X,2026-07-13,"#SanSalvadorUn incendio estructural fue atendido por el Cuerpo de 
@BomberosSV
  en una vivienda de la colonia Santa Rosa, en San Salvador Centro. 

Las autoridades informaron que el siniestro dejó únicamente daños materiales

#ÚltimaHora #Bomberos #IncendioEstructural 
KG",https://x.com/acontecercomsv/status/2076687244815933860,USER_014,No Tóxico,N/A,N/A,Español Estándar,NO,NO,NO,0.9,"Noticia neutral de incendio estructural, solo daños materiales, sin carga violenta.",NO,,,,N/A,,NO
167,Cristian,Facebook,2026-06-25,El hecho que a las moscas le guste la mi3rda no quiere decir que sea buena 🤣,https://www.facebook.com/lacheradasalvadorena/posts/pfbid02Hg6FQd2hEF5YitCYJ2UCTx5u71tm54oXbAu4zc2mvvQaVw9mrRzRpcbyQRtSEXsBl?comment_id=4014365425469590,USR_00000083,Lenguaje Ofensivo,Lenguaje vulgar,Ninguno,General Español,Sí,Sí,No,0.82,"Usa insultos, burlas o vulgarismos sin ataque claro a característica protegida. No se observan marcas dialectales suficientes; predomina español general. Evidencia léxica (obscenidad: mierda).",No,,,,,,Sí
018,Cristian,X,2026-05-24,Creo que soy al único salvadoreño que le pela un ejote la Selecta JAJAJAA,https://x.com/juandifiallos/status/1965214968951005248,USR_00000004,No Tóxico,No Aplica,Ninguno,General Español,Sí,Sí,No,0.80,"No hay insulto, amenaza ni ataque discriminatorio evidente. No se observan marcas dialectales suficientes; predomina español general.",No,,,,,,Sí
180,Cristian,Facebook,2026-06-25,Ni veo esos tipos esa mujer cae bien bajo con su forma de ablar más malhablada. Q un hombre susia,https://www.facebook.com/miorgulloesElSalvador503/posts/pfbid02xeXG8gB2TtnXRp24v34ZDbnW1dwN7ZMdpS6eZLW54JbjaMWSQ9yj87pdGeBfdNpZl?comment_id=836094182485112,USR_00000096,No Tóxico,No Aplica,Mujeres,Salvadoreño,No,No,No,0.80,"No hay insulto, amenaza ni ataque discriminatorio evidente. Usa voseo, caliche o léxico registrado como salvadoreñismo.",No,,,,,,Sí
721,Willian,X,2026-07-14,"TUIT SERIO: Empezamos a tomar pedidos con las Lasagnas de mi viejita para este fin de semana 11 y 12 de julio, mi viejita está ansiosa por cocinarles con mucho amor y sobre todo con todas las medidas de salud, envíos hasta la puerta de su casa desde $1.50 #RT #EmprendimientoSV",https://x.com/LuzHerndez/status/1280552279926603776,USER_127,No Tóxico,N/A,N/A,Salvadoreño,NO,NO,NO,0.9,"Promoción de negocio familiar de comida con tono cálido y humor ('TUIT SERIO'), limpio.",NO,,,,N/A,,NO
221,Dressler,X,6/28/2026,Q se mueran todos esos Judíos de Mierda,https://x.com/Corina18318/status/2077197419398214001,USER_221,Discurso de odio,Antisemitismo,Personas judías,General Espa�ol,NO,NO,NO,0.85,requiere verificacion y validacion,No,,,,,,NO
474,Cristian,X,2026-06-28,Chupala zurdo hijuelagranputa!,https://x.com/amiguEprogrE/status/2045210752743604358,USR_00000371,Lenguaje Ofensivo,Lenguaje vulgar,Ninguno,General Español,No,No,No,0.82,"Usa insultos, burlas o vulgarismos sin ataque claro a característica protegida. No se observan marcas dialectales suficientes; predomina español general.",No,,,,,,Sí
396,Cristian,Facebook,2026-06-26,Tantas ganas tenías en pendejo de hacerle eso ala niña demasiado 😡😡😡😡,https://www.facebook.com/alfis.SV/posts/pfbid0CNfaHLMHJYqyDheNiS79HmDCexTfuJDpqG8qnYJrH36Wmtfa1jeabW5LTtBhZQi6l?comment_id=679232891435769,USR_00000312,Lenguaje Ofensivo,Lenguaje vulgar,Ninguno,General Español,No,No,No,0.82,"Usa insultos, burlas o vulgarismos sin ataque claro a característica protegida. No se observan marcas dialectales suficientes; predomina español general. Evidencia léxica (obscenidad: pendejo).",No,,,,,,Sí
579,Willian,X,2026-07-13,"Antojitos 100% salvadoreños  los encuentras en nuestras tardes de típicos de Mister Donut  a partir de las 3:00 pm todos los días 

Disfruta de nuestra enchilada de res a tan solo $1.45 

#MisterDonut #Típicos #ComidaSalvadoreña",https://x.com/MisterDonutESA/status/1695111291608736020,USER_050,No Tóxico,N/A,N/A,Español Estándar,NO,NO,NO,0.9,"Promoción comercial de antojitos típicos, limpio.",NO,,,,N/A,,NO
883,Willian,X,2026-07-14,"Estoy contigo ,    Para ser “terroristas “ los mareros se dan buena vida .  Necesitan una pena de muerte , cuantos fueron los que la MS 13 mató en Brentwood, Long Island 12 personas . Ya es suficiente  demasiado los mima el gobierno de El Salvador . 
@USAmbSV",https://x.com/sv_murray/status/1122672697975066626,USER_267,Amenazas/Violencia,Incitación a la Violencia (a grupo),Pandilleros/Mareros,Salvadoreño,NO,NO,SI,0.75,"Endorso de pena de muerte para mareros, citando caso real de MS-13 en EE.UU.",NO,,,,N/A,,NO
618,Willian,X,2026-07-13,"#DeModa | ¿En realidad sabemos cómo ordenar o cómo facilitarnos la vida mientras lo hacemos? 

https://
diarioelsalvador.com/5-consejos-par
a-ordenar-tu-guardaropa/42417/
… #ModaSV",https://x.com/elsalvador/status/1360385701406154753,USER_043,No Tóxico,N/A,N/A,Español Estándar,NO,NO,NO,0.9,"Consejos de organización de guardarropa de un medio, informativo/moda.",NO,,,,N/A,,NO
68,Dressler,Facebook,5/28/2026,"Te quedaste en esaaaa,es España y Argentina",https://www.facebook.com/diana.vades.padron?comment_id=Y29tbWVudDoxMzUxMDk4NjE3MDAwMTgzXzE3ODUyNjMyMTkzMTgxNzY=,USER_068,Discurso de odio,Burla por nacionalidad,Personas argentinas,General Espa�ol,SI,SI,NO,0.83,requiere verificacion y validacion,No,,,,,,NO
105,Dressler,Facebook,5/29/2026,"El mensaje de Messi para los hinchas argentinos: ""SOMOS LOS MEJORES ESTOS CUATRO AÑOS, DUELA A QUIEN LE DUELA. NADIE NOS REGALÓ NADA. CONSEGUIR DOS FINALES SEGUIDAS ES PARA POCOS"".",https://www.facebook.com/Saulitosr7?comment_id=Y29tbWVudDoxMzcyNTU1OTQ4NDI1MzgzXzE1MTY2OTg3MTAyMjgyMjA=,USER_105,Discurso de odio,Burla por nacionalidad,Personas argentinas,General Espa�ol,SI,SI,NO,0.83,requiere verificacion y validacion,No,,,,,,NO
64,Dressler,X,6/11/2026,"Que sucios son los sudacas de mierda, nada que ver con los modales británicos.
¡EL ENGANCHÓN DE BELLINGHAM CON LOS JUGADORES DE ARGENTINA TRAS EL FINAL!

#NuestroMejorMundial #NuestroMejorMundialAS 

@jfelixdiaz @as_tv",https://x.com/ogat2610/status/2077533135135277359,USER_064,Discurso de odio,Xenofobia,Personas latinoamericanas,General Espa�ol,NO,NO,NO,0.86,requiere verificacion y validacion,No,,,,,,NO
124,Dressler,Facebook,5/29/2026,Alberth Jrs pero como es el show de infantino se lo van a regalar,https://www.facebook.com/profile.php?comment_id=Y29tbWVudDoxNTQ0ODI0OTExMDA5MzU3XzI1NTI0NTQ2Mzg1MjU4NzM=,USER_124,Discurso de odio,Burla por nacionalidad,Personas argentinas,General Espa�ol,SI,SI,NO,0.81,requiere verificacion y validacion,No,,,,,,NO
741,Willian,X,2026-07-14,"Ese gol de la #SelectaSV, vale mil!
Es q no cualquiera le mete un gol a San Keylor Navas.",https://x.com/KzadorAzul/status/1447332694187249666,USER_138,No Tóxico,N/A,N/A,Español Estándar,NO,NO,NO,0.9,"Elogio a gol de la selección contra portero famoso, positivo.",NO,,,,N/A,,NO
127,Dressler,X,7/3/2026,"Vete a chingar a tu madre y a tu hermana, que en eso es que ustedes son buenos. Los indios de mierda que viven en un país de mierda, rodeados por mujeres, prostitutas y maricones en las calles.",https://x.com/TeovaqueroPR/status/2076809036431798663,USER_127,Discurso de odio,Racismo,Personas indígenas,General Espa�ol,NO,NO,NO,0.76,requiere verificacion y validacion,No,,,,,,NO
680,Willian,X,2026-07-13,"¡Con la reforma Mi Nueva Escuela lo estamos logrando!

#CrecerJuntos #EducacionSV",https://x.com/EducacionSV/status/1628483520388558849,USER_108,No Tóxico,N/A,N/A,Español Estándar,NO,NO,SI,0.85,"Mensaje institucional sobre reforma educativa, positivo.",NO,,,,N/A,,NO
2,Dressler,Facebook,6/15/2026,El mas pendejo es usted que se cree de la inteligencia artificial de esta foto.,https://www.facebook.com/groups/1970313089800209/posts/3362262907271880/?comment_id=3367030280128476&reply_comment_id=3367092160122288,USER_002,Insulto,Descalificacion directa,Persona individual,Salvadore�o,NO,NO,SI,0.74,requiere verificacion y validacion,No,,,,,,NO
872,Willian,X,2026-07-14,Claro hay que aplastarlos y pedir que la pena de muerte sea aprobada asi menos mareros presos menos gastos para el estado por que nos toca atodos pagar el gasto que estos generan,https://x.com/JoseGra97501248/status/1199824624147714048,USER_256,Amenazas/Violencia,Incitación a la Violencia (a grupo),Pandilleros/Mareros,Salvadoreño,NO,NO,NO,0.8,"Llamado explícito a aplastarlos y aprobar la pena de muerte, con justificación económica.",NO,,,,N/A,,NO
1161,Willian,Facebook,2026-07-14,Correcto en las Elecciones dejaremos Claro a la Oposición que Apoyamos al 100 % la Reelección de Presidente Nayid Bukele.,https://www.facebook.com/profile.php?comment_id=Y29tbWVudDoxMzk4MzEyOTc1ODA2MjkyXzE2MDg1OTczNzc1MjM3NDk=,USER_535,No Tóxico,N/A,N/A,Español Estándar,NO,NO,SI,0.8,"Apoyo político explícito, sin agresión.",NO,,,,N/A,,NO
157,Dressler,X,6/1/2026,"De puta vergüenza asquerosidad y repugnancia los negros moros de mierda lo que hacen, ni un puto mínimo de honor y decencia tienen los retrasados mentales",https://x.com/Zayb1234567890/status/2077532981401379112,USER_157,Discurso de odio,Islamofobia,Personas musulmanas,General Espa�ol,NO,NO,NO,0.74,requiere verificacion y validacion,No,,,,,,NO
081,Cristian,X,2026-05-30,"No mi pendejo, el capitalismo no es ahuevo… es una elección, si eres huevón ya sabes lo que te va a pasar 🙄 👇🏼",https://x.com/spineda/status/1988603052098769291,USR_00000058,Acoso,Ataque personal,Persona Individual,General Español,No,No,No,0.84,Insulta o ridiculiza a una persona identificable. No se observan marcas dialectales suficientes; predomina español general. Evidencia léxica (obscenidad: pendejo).,No,,,,,,Sí
548,Willian,X,2026-07-13,"Mañana día de la madre, nuestra querida Maurita estará en Viva la Mañana, compartiendo sobre su vida como mujer exitosa y emprendedora, premios y logros. ¡No te lo pierdas! 
@PenchoyAida
 #gastronomiasv #foodsv #elsalvador #sansivar",https://x.com/MauritasSV/status/994375393955209219,USER_036,No Tóxico,N/A,N/A,Español Estándar,NO,NO,NO,0.9,"Anuncio de aparición en programa de TV, vida diaria, limpio.",NO,,,,N/A,,NO
282,Cristian,X,2026-06-04,Seré pendejo para lo ciegos que no les gusta la verdad 🤣🙌,https://x.com/fockyoupresi/status/2060826674590015768,USR_00000221,Lenguaje Ofensivo,Lenguaje vulgar,Ninguno,General Español,Sí,Sí,No,0.82,"Usa insultos, burlas o vulgarismos sin ataque claro a característica protegida. No se observan marcas dialectales suficientes; predomina español general. Evidencia léxica (obscenidad: pendejo).",No,,,,,,Sí
1156,Willian,Facebook,2026-07-14,Bueno hasta la selección de mi barrio va a poder participar,https://www.facebook.com/manuel.jimenez.500264?comment_id=Y29tbWVudDoxNTMwMjIxMDE1ODE3MDAwXzE5MTI5NTkyNjI3MDk5ODY=,USER_530,No Tóxico,N/A,N/A,Español Estándar,NO,SI,NO,0.85,"Broma sobre inclusión amplia en un mundial hipotético, limpio.",NO,,,,N/A,,NO
762,Willian,X,2026-07-14,"El 90% estamos de acuerdo que a Los mareros Los encieren de por vida en la carcel o que Los fusilen de una ves,El problema es que bukele tiene tregua con Los lideres,hay muchos con condenas y Los sacaron,Los inocentes salen casi muertos o salen a una fosa comun ,entiendes Prepago",https://x.com/salvadors59/status/1630998965490466816,USER_153,Amenazas/Violencia,Incitación a la Violencia (a grupo),Pandilleros/Mareros,Salvadoreño,NO,NO,SI,0.65,Opinión política endorsando el fusilamiento de mareros como alternativa a la tregua de Bukele; crítica política con incitación explícita incluida.,NO,,,,N/A,,NO
178,Dressler,X,5/30/2026,"Vamos a poner una pata de jamón alado del arco, si no se la come el dibu, eso los va a espantar putos moros de mierda",https://x.com/Gianca30/status/2077152360871190614,USER_178,Discurso de odio,Islamofobia,Personas musulmanas,General Espa�ol,NO,NO,NO,0.81,requiere verificacion y validacion,No,,,,,,NO
239,Dressler,X,6/12/2026,Podian poner las manos discapacitados de mierda forros hijos de puta y la concha de su madre,https://x.com/MatiasMoiso/status/2040924069671919944,USER_239,Discurso de odio,Discriminación por discapacidad,Personas con discapacidad,General Espa�ol,NO,NO,NO,0.71,requiere verificacion y validacion,No,,,,,,NO
164,Cristian,Facebook,2026-06-25,"En un mundo ordinario los idiotas son genios, y todos esa bola de idiot, en esa casa no aportan nada positivo a la sociedad",https://www.facebook.com/lacheradasalvadorena/posts/pfbid02Hg6FQd2hEF5YitCYJ2UCTx5u71tm54oXbAu4zc2mvvQaVw9mrRzRpcbyQRtSEXsBl?comment_id=1979383466184694,USR_00000080,Acoso,Ataque personal,Persona Individual,General Español,No,Sí,No,0.84,Insulta o ridiculiza a una persona identificable. No se observan marcas dialectales suficientes; predomina español general.,No,,,,,,Sí
1155,Willian,Facebook,2026-07-14,"Ni así
jajaja lo dudo mucho, la única manera es que todo el planeta entero sea convocado",https://www.facebook.com/javier.ramirez.134621?comment_id=Y29tbWVudDoxNTMwMjIxMDE1ODE3MDAwXzE3MDEzMjAyNzExNDY2MTg=,USER_529,No Tóxico,N/A,N/A,Español Estándar,NO,SI,NO,0.85,"Broma sobre dificultad de clasificar, limpio.",NO,,,,N/A,,NO
210,Cristian,Facebook,2026-06-25,Señora con todo respeto seria una verguenza que representara a mi gran pais en cualquier cosa.,https://www.facebook.com/permalink.php?story_fbid=pfbid022iJq5TYcFAgW11VEHJ6vYu3A6pYk4qKFDpRYpgQwBxwNX9YfqqTbZxpTmEuWXXj9l&id=61555811181550&comment_id=1138528581224371,USR_00000126,No Tóxico,No Aplica,Ninguno,General Español,No,No,No,0.80,"No hay insulto, amenaza ni ataque discriminatorio evidente. No se observan marcas dialectales suficientes; predomina español general.",No,,,,,,Sí
001,Cristian,X,2026-05-24,¿Interpelar al Ministro @merino_monroy ? Y ¿Ustedes cuándo han ayudado a la gente? ¿Cuándo han rescatado personas en medio de una tormenta? ¿Cuándo aportaron algo para reducir la violencia? Diputados de escobas calendarios y bolígrafos. ¡Les queda poco!,https://x.com/lacholy4/status/1288483910553403392,USR_00000001,Acoso,Ataque personal,Funcionarios Públicos,Salvadoreño,No,No,Sí,0.84,"Insulta o ridiculiza a una persona identificable. Usa voseo, caliche o léxico registrado como salvadoreñismo. Evidencia léxica (jerga salvadoreña: escobas calendarios). Nota fuente: Escobas calendarios puede ser referencia a que son baratos y estan disponibles, mientras que bolígrafos hace referencia a que son personas a.",No,,,,,,Sí
600,Willian,X,2026-07-13,"#NaturalezaSV | ¡Explora el cráter del volcán Ilamatepec!  
https://
goo.gl/14k4HW",https://x.com/Gobierno_SV/status/888429670747734016,USER_060,No Tóxico,N/A,N/A,Español Estándar,NO,NO,SI,0.85,"Promoción turística institucional del volcán Ilamatepec, limpio.",NO,,,,N/A,,NO
739,Willian,X,2026-07-14,"¡Mucha suerte a nuestra querida 
@LaSelecta_SLV
!  Les mandamos buena vibra a nuestro estilo con nuestras galletas decoradas de la #SelectaSV. Camiseta edición Mundial España ‘82 
.
Pedidos de galletas decoradas con 48hrs anticipación (visita nuestro perfil en IG)",https://x.com/quitossv/status/1448367527239761929,USER_136,No Tóxico,N/A,N/A,Español Estándar,NO,NO,NO,0.9,"Mensaje de buena suerte a la selección con promoción de negocio de galletas, positivo.",NO,,,,N/A,,NO
