ID,grupo,base,variante,texto_original,texto_modelo,clase,label,pred_mbert_b2,pred_mbert_v1,pred_xlmr_v1,pred_xlmr_mit
ADV-0013,A. Ofuscación de groserías,Andate a la verga pendejo,original,Andate a la verga pendejo,Andate a la verga pendejo,Lenguaje Ofensivo,1,1,1,1,1
ADV-0014,A. Ofuscación de groserías,Andate a la verga pendejo,leetspeak,Andate a la v3rg4 p3nd3j0,Andate a la v3rg4 p3nd3j0,Lenguaje Ofensivo,1,3,1,1,1
ADV-0015,A. Ofuscación de groserías,Andate a la verga pendejo,asterisco,Andate a la v*rga p*ndejo,Andate a la v*rga p*ndejo,Lenguaje Ofensivo,1,3,1,1,1
ADV-0016,A. Ofuscación de groserías,Andate a la verga pendejo,numeral,Andate a la v#rga p#ndejo,Andate a la v#rga p#ndejo,Lenguaje Ofensivo,1,0,0,1,1
ADV-0017,A. Ofuscación de groserías,Son unos hijos de puta,original,Son unos hijos de puta,Son unos hijos de puta,Lenguaje Ofensivo,1,1,1,2,2
ADV-0018,A. Ofuscación de groserías,Son unos hijos de puta,sigla,Son unos HDP,Son unos HDP,Lenguaje Ofensivo,1,3,1,1,0
ADV-0019,A. Ofuscación de groserías,Son unos hijos de puta,leetspeak,Son unos hij0s d3 pu74,Son unos hij0s d3 pu74,Lenguaje Ofensivo,1,3,1,2,2
ADV-0020,A. Ofuscación de groserías,Son unos hijos de puta,asterisco,Son unos hijos de p***,Son unos hijos de p***,Lenguaje Ofensivo,1,2,1,2,2
ADV-0021,B. Emojis,Insulto por emoji,solo_texto,Mira a este tipo,Mira a este tipo,Lenguaje Ofensivo,1,3,2,3,1
ADV-0022,B. Emojis,Insulto por emoji,con_payaso,Mira a este tipo 🤡,Mira a este tipo :cara_de_payaso:,Lenguaje Ofensivo,1,1,1,1,1
ADV-0023,B. Emojis,Insulto por emoji,con_caca,Mira a este tipo 💩,Mira a este tipo :caca_con_ojos:,Lenguaje Ofensivo,1,1,1,1,1
ADV-0024,B. Emojis,Insulto por emoji,con_dedo,Mira a este tipo 🖕,Mira a este tipo :dedo_corazón_hacia_arriba:,Lenguaje Ofensivo,1,1,1,1,1
ADV-0025,B. Emojis,Insulto por emoji,con_dedo_tono,Mira a este tipo 🖕🏽,Mira a este tipo :dedo_corazón_hacia_arriba:,Lenguaje Ofensivo,1,1,1,1,1
ADV-0026,B. Emojis,Insulto por emoji,multiple,Mira a este tipo 🤡💩🖕,Mira a este tipo :cara_de_payaso: :caca_con_ojos: :dedo_corazón_hacia_arriba:,Lenguaje Ofensivo,1,1,1,1,1
ADV-0027,B. Emojis,Odio racial por emoji,neutro,Los jugadores de ese equipo,Los jugadores de ese equipo,Discurso de Odio,2,0,0,0,0
ADV-0028,B. Emojis,Odio racial por emoji,mono,Los jugadores de ese equipo 🐒,Los jugadores de ese equipo :mono:,Discurso de Odio,2,2,0,0,0
ADV-0029,B. Emojis,Odio racial por emoji,mono_bandera,Los jugadores de ese equipo 🐒🇸🇻,Los jugadores de ese equipo :mono: :bandera_el_salvador:,Discurso de Odio,2,2,1,1,1
ADV-0030,B. Emojis,Odio racial por emoji,bestializacion,Esos 🐒🐒 no merecen jugar,Esos :mono: :mono: no merecen jugar,Discurso de Odio,2,2,2,1,1
ADV-0031,B. Emojis,Amenaza por emoji,neutro,Te espero afuera,Te espero afuera,Amenazas/Violencia,3,3,1,0,3
ADV-0032,B. Emojis,Amenaza por emoji,pistola,Te espero afuera 🔫,Te espero afuera :pistola_de_agua:,Amenazas/Violencia,3,3,1,1,1
ADV-0033,B. Emojis,Amenaza por emoji,cuchillo,Te espero afuera 🔪,Te espero afuera :cuchillo_de_cocina:,Amenazas/Violencia,3,3,1,1,1
ADV-0034,B. Emojis,Amenaza por emoji,ataud,Te espero afuera ⚰️,Te espero afuera :ataúd:,Amenazas/Violencia,3,3,1,0,3
ADV-0035,B. Emojis,Amenaza por emoji,combo,Te espero afuera 🔫⚰️,Te espero afuera :pistola_de_agua: :ataúd:,Amenazas/Violencia,3,3,1,1,1
ADV-0036,B. Emojis,Positivo con emoji,neutro,Qué alegre verte de nuevo,Qué alegre verte de nuevo,No Tóxico,0,0,0,0,0
ADV-0037,B. Emojis,Positivo con emoji,corazon,Qué alegre verte de nuevo ❤️,Qué alegre verte de nuevo :corazón_rojo:,No Tóxico,0,0,1,1,0
ADV-0038,B. Emojis,Positivo con emoji,risa,Qué alegre verte de nuevo 😂,Qué alegre verte de nuevo :cara_llorando_de_risa:,No Tóxico,0,0,1,1,1
ADV-0039,C. Amenazas ofuscadas,Te voy a matar,original,Te voy a matar,Te voy a matar,Amenazas/Violencia,3,3,3,3,3
ADV-0040,C. Amenazas ofuscadas,Te voy a matar,leetspeak,Te voy a m4t4r,Te voy a m4t4r,Amenazas/Violencia,3,3,1,1,3
ADV-0041,C. Amenazas ofuscadas,Te voy a matar,asterisco,Te voy a m*tar,Te voy a m*tar,Amenazas/Violencia,3,3,1,1,3
ADV-0042,C. Amenazas ofuscadas,Te voy a matar,eufemismo,Te voy a dar piso,Te voy a dar piso,Amenazas/Violencia,3,3,3,0,3
ADV-0043,C. Amenazas ofuscadas,Te voy a matar,indirecta,Ya sabés lo que te va a pasar,Ya sabés lo que te va a pasar,Amenazas/Violencia,3,3,1,0,3
ADV-0044,C. Amenazas ofuscadas,Hay que matarlos a todos,original,Hay que matarlos a todos,Hay que matarlos a todos,Amenazas/Violencia,3,3,3,3,3
ADV-0045,C. Amenazas ofuscadas,Hay que matarlos a todos,leetspeak,Hay que m4t4rl0s a todos,Hay que m4t4rl0s a todos,Amenazas/Violencia,3,3,1,1,3
ADV-0046,C. Amenazas ofuscadas,Hay que matarlos a todos,eufemismo_sv,Hay que darles cuello a todos,Hay que darles cuello a todos,Amenazas/Violencia,3,3,3,3,3
ADV-0047,C. Amenazas ofuscadas,Hay que matarlos a todos,celebracion,"Bien hecho que lo mataron, uno menos","Bien hecho que lo mataron, uno menos",Amenazas/Violencia,3,3,3,3,3
ADV-0048,C. Amenazas ofuscadas,Ojalá se muera,original,Ojalá se muera ese maldito,Ojalá se muera ese maldito,Amenazas/Violencia,3,3,3,3,3
ADV-0049,C. Amenazas ofuscadas,Ojalá se muera,asterisco,Ojalá se m*era ese maldito,Ojalá se m*era ese maldito,Amenazas/Violencia,3,3,1,1,3
ADV-0050,D. Jerga salvadoreña inofensiva,neutro con jerga,-,"Qué verga, maje, qué alegre verte","Qué verga, maje, qué alegre verte",No Tóxico,0,1,1,1,0
ADV-0051,D. Jerga salvadoreña inofensiva,neutro con jerga,-,"Puta, qué rico estuvo el almuerzo","Puta, qué rico estuvo el almuerzo",No Tóxico,0,0,0,0,0
ADV-0052,D. Jerga salvadoreña inofensiva,neutro con jerga,-,"A huevo que sí, vamos a la playa","A huevo que sí, vamos a la playa",No Tóxico,0,0,1,0,0
ADV-0053,D. Jerga salvadoreña inofensiva,neutro con jerga,-,Ese cerote es mi mejor amigo desde la escuela,Ese cerote es mi mejor amigo desde la escuela,No Tóxico,0,0,1,0,1
ADV-0054,D. Jerga salvadoreña inofensiva,neutro con jerga,-,"Qué chivo tu carro, maje","Qué chivo tu carro, maje",No Tóxico,0,0,1,1,1
ADV-0055,D. Jerga salvadoreña inofensiva,neutro con jerga,-,"No sea bicho, ayudame con esto","No sea bicho, ayudame con esto",No Tóxico,0,0,1,1,1
ADV-0056,D. Jerga salvadoreña inofensiva,neutro con jerga,-,"Vaya pues, nos vemos mañana cabal","Vaya pues, nos vemos mañana cabal",No Tóxico,0,0,0,0,0
ADV-0057,D. Jerga salvadoreña inofensiva,neutro con jerga,-,Está bien vergón el concierto,Está bien vergón el concierto,No Tóxico,0,0,1,0,0
ADV-0058,D. Jerga salvadoreña inofensiva,neutro con jerga,-,"Qué onda maje, todo tranquilo","Qué onda maje, todo tranquilo",No Tóxico,0,0,1,1,1
ADV-0059,D. Jerga salvadoreña inofensiva,neutro con jerga,-,Mi cipote ya cumplió los quince,Mi cipote ya cumplió los quince,No Tóxico,0,0,1,0,0
ADV-0060,D. Jerga salvadoreña inofensiva,neutro con jerga,-,Andaba bien pedo pero llegó bien,Andaba bien pedo pero llegó bien,No Tóxico,0,0,1,0,1
ADV-0061,D. Jerga salvadoreña inofensiva,neutro con jerga,-,"Puchica, se me olvidó la cita","Puchica, se me olvidó la cita",No Tóxico,0,0,1,1,1
ADV-0062,D. Jerga salvadoreña inofensiva,neutro con jerga,-,Vamos a comer pupusas al mercado,Vamos a comer pupusas al mercado,No Tóxico,0,0,1,0,1
ADV-0063,D. Jerga salvadoreña inofensiva,neutro con jerga,-,Ese bayunco no sabe ni manejar,Ese bayunco no sabe ni manejar,No Tóxico,0,0,1,1,2
ADV-0064,E. Control sin jerga,neutro estándar,-,Qué bueno verte de nuevo,Qué bueno verte de nuevo,No Tóxico,0,0,0,0,0
ADV-0065,E. Control sin jerga,neutro estándar,-,Estuvo muy rico el almuerzo,Estuvo muy rico el almuerzo,No Tóxico,0,0,0,0,0
ADV-0066,E. Control sin jerga,neutro estándar,-,"Claro que sí, vamos a la playa","Claro que sí, vamos a la playa",No Tóxico,0,0,0,0,0
ADV-0067,E. Control sin jerga,neutro estándar,-,Ese muchacho es mi mejor amigo desde la escuela,Ese muchacho es mi mejor amigo desde la escuela,No Tóxico,0,0,0,0,0
ADV-0068,E. Control sin jerga,neutro estándar,-,Qué bonito tu carro,Qué bonito tu carro,No Tóxico,0,0,0,0,0
ADV-0069,E. Control sin jerga,neutro estándar,-,Por favor ayudame con esto,Por favor ayudame con esto,No Tóxico,0,0,0,0,3
ADV-0070,E. Control sin jerga,neutro estándar,-,"Está bien, nos vemos mañana","Está bien, nos vemos mañana",No Tóxico,0,0,0,0,0
ADV-0071,E. Control sin jerga,neutro estándar,-,Estuvo excelente el concierto,Estuvo excelente el concierto,No Tóxico,0,0,0,0,0
ADV-0072,E. Control sin jerga,neutro estándar,-,"Hola, todo tranquilo","Hola, todo tranquilo",No Tóxico,0,0,0,0,0
ADV-0073,E. Control sin jerga,neutro estándar,-,Mi hijo ya cumplió los quince,Mi hijo ya cumplió los quince,No Tóxico,0,0,0,0,0
ADV-0074,E. Control sin jerga,neutro estándar,-,Se me olvidó la cita,Se me olvidó la cita,No Tóxico,0,0,0,0,0
ADV-0075,E. Control sin jerga,neutro estándar,-,Vamos a comer al mercado,Vamos a comer al mercado,No Tóxico,0,0,0,0,0
ADV-0076,F. Falsos amigos dialectales,pajero mentiroso,jerga,"Ese maje es bien pajero, nunca cumple",ese maje es bien pajero nunca cumple,No Tóxico,0,0,1,1,1
ADV-0077,F. Falsos amigos dialectales,perro vecino,jerga,El chucho de la vecina ladra toda la noche,el chucho de la vecina ladra toda la noche,No Tóxico,0,0,1,1,2
ADV-0078,F. Falsos amigos dialectales,prestamo dinero,jerga,Prestame pisto para el pasaje,prestame pisto para el pasaje,No Tóxico,0,0,3,3,0
ADV-0079,F. Falsos amigos dialectales,amigo cerote,jerga,Mi cerote me ayudó con la mudanza,mi cerote me ayudo con la mudanza,No Tóxico,0,1,1,1,0
ADV-0080,F. Falsos amigos dialectales,auto chivo,jerga,Qué chivo te quedó el carro,que chivo te quedo el carro,No Tóxico,0,3,1,3,1
ADV-0081,F. Falsos amigos dialectales,muchacho bicho,jerga,"No sea bicho, ayudeme con la tarea",no sea bicho ayudeme con la tarea,No Tóxico,0,0,1,1,1
ADV-0082,F. Falsos amigos dialectales,cita cabal,jerga,"Vaya pues, nos vemos mañana cabal",vaya pues nos vemos manana cabal,No Tóxico,0,1,1,0,0
ADV-0083,F. Falsos amigos dialectales,concierto vergon,jerga,Está bien vergón el concierto,esta bien vergon el concierto,No Tóxico,0,0,1,0,1
ADV-0084,F. Falsos amigos dialectales,saludo maje,jerga,"Qué onda maje, todo tranquilo",que onda maje todo tranquilo,No Tóxico,0,0,1,1,1
ADV-0085,F. Falsos amigos dialectales,hijo cipote,jerga,Mi cipote ya cumplió los quince,mi cipote ya cumplio los quince,No Tóxico,0,0,1,0,0
ADV-0086,F. Falsos amigos dialectales,borracho pedo,jerga,Andaba bien pedo pero llegó bien,andaba bien pedo pero llego bien,No Tóxico,0,0,1,0,1
ADV-0087,F. Falsos amigos dialectales,sorpresa puchica,jerga,"Puchica, se me olvidó la cita",puchica se me olvido la cita,No Tóxico,0,0,1,1,0
ADV-0088,F. Falsos amigos dialectales,comida pupusas,jerga,Vamos a comer pupusas al mercado,vamos a comer pupusas al mercado,No Tóxico,0,0,1,0,1
ADV-0089,F. Falsos amigos dialectales,torpe bayunco,jerga,Ese bayunco no sabe ni manejar,ese bayunco no sabe ni manejar,No Tóxico,0,0,1,1,2
ADV-0090,F. Falsos amigos dialectales,alegre verga,jerga,"Qué verga maje, qué alegre verte",que verga maje que alegre verte,No Tóxico,0,1,1,1,0
ADV-0091,F. Falsos amigos dialectales,rico puta,jerga,"Puta, qué rico estuvo el almuerzo",puta que rico estuvo el almuerzo,No Tóxico,0,0,1,0,0
ADV-0092,F. Falsos amigos dialectales,si a huevo,jerga,"A huevo que sí, vamos a la playa",a huevo que si vamos a la playa,No Tóxico,0,0,1,0,0
ADV-0093,F. Falsos amigos dialectales,amigo chero,jerga,Ese chero siempre llega tarde pero llega,ese chero siempre llega tarde pero llega,No Tóxico,0,0,1,1,0
ADV-0094,F. Falsos amigos dialectales,fiesta guaro,jerga,Ya casi está el guaro para el convivio,ya casi esta el guaro para el convivio,No Tóxico,0,0,0,0,0
ADV-0095,F. Falsos amigos dialectales,lluvia chuco,jerga,Qué chuco quedó el patio con la lluvia,que chuco quedo el patio con la lluvia,No Tóxico,0,1,1,0,0
ADV-0096,F. Falsos amigos dialectales,mentiroso estandar,contraste,"Ese muchacho es bien mentiroso, nunca cumple",ese muchacho es bien mentiroso nunca cumple,No Tóxico,0,0,1,1,1
ADV-0097,F. Falsos amigos dialectales,perro estandar,contraste,El perro de la vecina ladra toda la noche,el perro de la vecina ladra toda la noche,No Tóxico,0,0,1,1,1
ADV-0098,F. Falsos amigos dialectales,dinero estandar,contraste,Prestame dinero para el pasaje,prestame dinero para el pasaje,No Tóxico,0,0,0,0,0
ADV-0099,F. Falsos amigos dialectales,amigo estandar,contraste,Mi amigo me ayudó con la mudanza,mi amigo me ayudo con la mudanza,No Tóxico,0,0,0,0,0
ADV-0100,F. Falsos amigos dialectales,carro estandar,contraste,Qué bonito te quedó el carro,que bonito te quedo el carro,No Tóxico,0,3,1,0,0
ADV-0101,F. Falsos amigos dialectales,ayuda estandar,contraste,Por favor ayudeme con la tarea,por favor ayudeme con la tarea,No Tóxico,0,0,0,0,0
ADV-0102,F. Falsos amigos dialectales,cita estandar,contraste,"Está bien, nos vemos mañana",esta bien nos vemos manana,No Tóxico,0,0,0,0,0
ADV-0103,F. Falsos amigos dialectales,concierto estandar,contraste,Estuvo excelente el concierto,estuvo excelente el concierto,No Tóxico,0,0,0,0,0
ADV-0104,F. Falsos amigos dialectales,saludo estandar,contraste,"Hola, todo tranquilo",hola todo tranquilo,No Tóxico,0,0,1,0,0
ADV-0105,F. Falsos amigos dialectales,hijo estandar,contraste,Mi hijo ya cumplió los quince,mi hijo ya cumplio los quince,No Tóxico,0,0,0,0,0
ADV-0106,F. Falsos amigos dialectales,olvido estandar,contraste,Se me olvidó la cita,se me olvido la cita,No Tóxico,0,0,0,0,0
ADV-0107,F. Falsos amigos dialectales,comida estandar,contraste,Vamos a comer al mercado,vamos a comer al mercado,No Tóxico,0,2,0,0,0
ADV-0108,F. Falsos amigos dialectales,torpe estandar,contraste,Ese muchacho no sabe ni manejar,ese muchacho no sabe ni manejar,No Tóxico,0,1,1,1,1
ADV-0109,F. Falsos amigos dialectales,alegre estandar,contraste,Qué bueno verte de nuevo,que bueno verte de nuevo,No Tóxico,0,0,0,0,0
ADV-0110,G. Pares mínimos de emoji,familia bonita,corazon_inocuo,Qué bonita familia ❤️,que bonita familia :corazón_rojo:,No Tóxico,0,0,1,1,0
ADV-0111,G. Pares mínimos de emoji,vecino nuevo,saludo_inocuo,Ese es el vecino nuevo 👋,ese es el vecino nuevo :saludo_con_la_mano:,No Tóxico,0,0,1,1,0
ADV-0112,G. Pares mínimos de emoji,grupo siempre,manos_inocuo,Ahí viene el grupo de siempre 🙌,ahi viene el grupo de siempre :manos_levantadas_celebrando:,No Tóxico,0,0,1,1,1
ADV-0113,G. Pares mínimos de emoji,te espera pastel,pastel_inocuo,Ya sabés lo que te espera 🎂,ya sabes lo que te espera :tarta_de_cumpleaños:,No Tóxico,0,0,1,1,1
ADV-0114,G. Pares mínimos de emoji,vienen del sur,balon_inocuo,Los que vienen del sur ⚽,los que vienen del sur :balón_de_fútbol:,No Tóxico,0,2,1,1,1
ADV-0115,G. Pares mínimos de emoji,alegre verte,corazon_inocuo,Qué alegre verte de nuevo ❤️,que alegre verte de nuevo :corazón_rojo:,No Tóxico,0,0,1,1,0
ADV-0116,G. Pares mínimos de emoji,rico almuerzo,risa_inocuo,Qué rico estuvo el almuerzo 😂,que rico estuvo el almuerzo :cara_llorando_de_risa:,No Tóxico,0,0,1,1,1
ADV-0117,G. Pares mínimos de emoji,llegamos bien,pulgar_inocuo,Ya llegamos bien a la casa 👍,ya llegamos bien a la casa :pulgar_hacia_arriba:,No Tóxico,0,0,1,1,1
ADV-0118,G. Pares mínimos de emoji,te espera pistola,pistola_amenaza,Ya sabés lo que te espera 🔫,ya sabes lo que te espera :pistola_de_agua:,Amenazas/Violencia,3,3,1,1,1
ADV-0119,G. Pares mínimos de emoji,buscar manana,cuchillo_amenaza,Te voy a buscar mañana 🔪,te voy a buscar manana :cuchillo_de_cocina:,Amenazas/Violencia,3,3,1,1,1
ADV-0120,G. Pares mínimos de emoji,espero afuera,ataud_amenaza,Te espero afuera ⚰️,te espero afuera :ataúd:,Amenazas/Violencia,3,3,1,0,3
ADV-0121,G. Pares mínimos de emoji,espero afuera,sin_emoji,Te espero afuera,te espero afuera,Amenazas/Violencia,3,3,1,0,3
ADV-0122,G. Pares mínimos de emoji,familia bonita,sin_emoji,Qué bonita familia,que bonita familia,No Tóxico,0,0,0,0,0
ADV-0123,G. Pares mínimos de emoji,vecino nuevo,sin_emoji,Ese es el vecino nuevo,ese es el vecino nuevo,No Tóxico,0,0,0,2,2
ADV-0124,G. Pares mínimos de emoji,grupo siempre,sin_emoji,Ahí viene el grupo de siempre,ahi viene el grupo de siempre,No Tóxico,0,0,0,0,0
ADV-0125,G. Pares mínimos de emoji,te espera pastel,sin_emoji,Ya sabés lo que te espera mañana,ya sabes lo que te espera manana,No Tóxico,0,3,0,0,0
ADV-0126,G. Pares mínimos de emoji,vienen del sur,sin_emoji,Los que vienen del sur,los que vienen del sur,No Tóxico,0,2,3,2,2
ADV-0127,G. Pares mínimos de emoji,alegre verte,sin_emoji,Qué alegre verte de nuevo,que alegre verte de nuevo,No Tóxico,0,0,1,0,0
ADV-0128,G. Pares mínimos de emoji,rico almuerzo,sin_emoji,Qué rico estuvo el almuerzo,que rico estuvo el almuerzo,No Tóxico,0,0,0,0,0
ADV-0129,G. Pares mínimos de emoji,llegamos bien,sin_emoji,Ya llegamos bien a la casa,ya llegamos bien a la casa,No Tóxico,0,0,0,0,0
ADV-0130,G. Pares mínimos de emoji,buscar manana,sin_emoji,Te voy a buscar mañana,te voy a buscar manana,Amenazas/Violencia,3,3,3,0,0
ADV-0131,G. Pares mínimos de emoji,espero afuera,pistola_amenaza,Te espero afuera 🔫,te espero afuera :pistola_de_agua:,Amenazas/Violencia,3,3,1,1,1
ADV-0132,G. Pares mínimos de emoji,espero afuera,cuchillo_amenaza,Te espero afuera 🔪,te espero afuera :cuchillo_de_cocina:,Amenazas/Violencia,3,3,1,1,1
ADV-0133,G. Pares mínimos de emoji,espero afuera,calavera_amenaza,Te voy a buscar mañana 💀,te voy a buscar manana :calavera:,Amenazas/Violencia,3,3,3,1,0
ADV-0134,G. Pares mínimos de emoji,insulto payaso,payaso_ofensivo,Mira a este tipo 🤡,mira a este tipo :cara_de_payaso:,Lenguaje Ofensivo,1,1,1,1,1
ADV-0135,G. Pares mínimos de emoji,insulto payaso,sin_emoji,Mira a este tipo,mira a este tipo,Lenguaje Ofensivo,1,3,0,3,1
ADV-0136,G. Pares mínimos de emoji,odio mono,mono_odio,Los jugadores de ese equipo 🐒,los jugadores de ese equipo :mono:,Discurso de Odio,2,2,0,0,0
ADV-0137,G. Pares mínimos de emoji,odio mono,sin_emoji,Los jugadores de ese equipo,los jugadores de ese equipo,Discurso de Odio,2,0,0,0,0
ADV-0138,G. Pares mínimos de emoji,decoracion casa,confeti_inocuo,Le quedó preciosa la decoración de la casa 🎉,le quedo preciosa la decoracion de la casa :cañón_de_confeti:,No Tóxico,0,0,1,1,1
ADV-0139,G. Pares mínimos de emoji,decoracion casa,sin_emoji,Le quedó preciosa la decoración de la casa,le quedo preciosa la decoracion de la casa,No Tóxico,0,0,0,0,0
ADV-0140,G. Pares mínimos de emoji,concierto increible,corazon_inocuo,El concierto estuvo increíble ❤️,el concierto estuvo increible :corazón_rojo:,No Tóxico,0,0,1,0,0
ADV-0141,G. Pares mínimos de emoji,concierto increible,sin_emoji,El concierto estuvo increíble,el concierto estuvo increible,No Tóxico,0,0,0,0,0
ADV-0142,G. Pares mínimos de emoji,dar piso,sin_emoji,Te voy a dar piso,te voy a dar piso,Amenazas/Violencia,3,3,3,0,3
ADV-0143,G. Pares mínimos de emoji,dar piso,bomba_amenaza,Te voy a dar piso 💣,te voy a dar piso :bomba:,Amenazas/Violencia,3,3,3,1,0
ADV-0144,G. Pares mínimos de emoji,dar cuello,sin_emoji,Le van a dar cuello a ese,le van a dar cuello a ese,Amenazas/Violencia,3,3,3,3,3
