ID,grupo_de_prueba,subgrupo,variante,texto,texto_normalizado,resultado_esperado,label_esperado,por_que,pred_mbert,conf_mbert,pred_xlmr,conf_xlmr,ok_mbert,clase_mbert,ok_xlmr,clase_xlmr
ADV-0066,E. Control sin jerga,neutro estándar,-,"Claro que sí, vamos a la playa","Claro que sí, vamos a la playa",No Tóxico,0,,0,0.9873173514687827,0,0.9492537421895096,True,No Tóxico,True,No Tóxico
ADV-0067,E. Control sin jerga,neutro estándar,-,Ese muchacho es mi mejor amigo desde la escuela,Ese muchacho es mi mejor amigo desde la escuela,No Tóxico,0,,0,0.9892787630563875,0,0.9238394777874637,True,No Tóxico,True,No Tóxico
ADV-0068,E. Control sin jerga,neutro estándar,-,Qué bonito tu carro,Qué bonito tu carro,No Tóxico,0,,0,0.9794273595383278,0,0.9781020641678899,True,No Tóxico,True,No Tóxico
ADV-0069,E. Control sin jerga,neutro estándar,-,Por favor ayudame con esto,Por favor ayudame con esto,No Tóxico,0,,0,0.9881786224503833,0,0.8741892395962199,True,No Tóxico,True,No Tóxico
ADV-0070,E. Control sin jerga,neutro estándar,-,"Está bien, nos vemos mañana","Está bien, nos vemos mañana",No Tóxico,0,,0,0.9907372253623424,0,0.9488097573795774,True,No Tóxico,True,No Tóxico
ADV-0071,E. Control sin jerga,neutro estándar,-,Estuvo excelente el concierto,Estuvo excelente el concierto,No Tóxico,0,,0,0.9896728986538544,0,0.9866649601141678,True,No Tóxico,True,No Tóxico
ADV-0072,E. Control sin jerga,neutro estándar,-,"Hola, todo tranquilo","Hola, todo tranquilo",No Tóxico,0,,0,0.7943500075335647,0,0.9313661989054854,True,No Tóxico,True,No Tóxico
ADV-0073,E. Control sin jerga,neutro estándar,-,Mi hijo ya cumplió los quince,Mi hijo ya cumplió los quince,No Tóxico,0,,0,0.986532820060236,0,0.9451206157234535,True,No Tóxico,True,No Tóxico
ADV-0074,E. Control sin jerga,neutro estándar,-,Se me olvidó la cita,Se me olvidó la cita,No Tóxico,0,,0,0.9730557105725043,0,0.5249162370489091,True,No Tóxico,True,No Tóxico
ADV-0075,E. Control sin jerga,neutro estándar,-,Vamos a comer al mercado,Vamos a comer al mercado,No Tóxico,0,,0,0.9601943834275003,0,0.899481093228076,True,No Tóxico,True,No Tóxico
ADV-0076,F. Falsos amigos dialectales,pajero,cotidiano,"No sea pajero, contame la verdad","No sea pajero, contame la verdad",No Tóxico,0,En SV «pajero» = mentiroso. Reproche coloquial entre amigos,1,0.9568620585497768,1,0.6741779472713505,False,Lenguaje Ofensivo,False,Lenguaje Ofensivo
ADV-0077,F. Falsos amigos dialectales,pajero,cotidiano,"Ese maje es bien pajero, nunca cumple","Ese maje es bien pajero, nunca cumple",No Tóxico,0,"Describe a alguien poco confiable, registro cotidiano",1,0.9637688336879882,1,0.9585282139709617,False,Lenguaje Ofensivo,False,Lenguaje Ofensivo
ADV-0078,F. Falsos amigos dialectales,paja,cotidiano,Qué paja tan buena la que contó anoche,Qué paja tan buena la que contó anoche,No Tóxico,0,"«Paja» = cuento, anécdota. Elogio, no insulto",0,0.5115053675228457,1,0.962367838117985,True,No Tóxico,False,Lenguaje Ofensivo
ADV-0079,F. Falsos amigos dialectales,paja,cotidiano,Dejate de pajas y andá a trabajar,Dejate de pajas y andá a trabajar,No Tóxico,0,«Dejate de pajas» = deja de perder el tiempo,1,0.7798066385612352,1,0.4487877834681579,False,Lenguaje Ofensivo,False,Lenguaje Ofensivo
ADV-0080,F. Falsos amigos dialectales,paja,cotidiano,Puras pajas las que dice ese noticiero,Puras pajas las que dice ese noticiero,No Tóxico,0,"Crítica a un medio, sin insulto a persona",0,0.8000297972110966,1,0.9584234648173771,True,No Tóxico,False,Lenguaje Ofensivo
ADV-0081,F. Falsos amigos dialectales,cerote,cotidiano,Ese cerote me ayudó cuando más lo necesitaba,Ese cerote me ayudó cuando más lo necesitaba,No Tóxico,0,"Uso afectivo entre amigos, muy común en SV",1,0.971219892866736,1,0.5701389347245872,False,Lenguaje Ofensivo,False,Lenguaje Ofensivo
ADV-0082,F. Falsos amigos dialectales,cerote,cotidiano,"Qué onda cerote, cómo has estado","Qué onda cerote, cómo has estado",No Tóxico,0,Saludo entre conocidos,1,0.9282168462703597,1,0.7825298250936558,False,Lenguaje Ofensivo,False,Lenguaje Ofensivo
ADV-0083,F. Falsos amigos dialectales,bicho,cotidiano,Los bichos ya salieron de vacaciones,Los bichos ya salieron de vacaciones,No Tóxico,0,«Bicho» = niño en SV. En Puerto Rico es vulgar,0,0.4549622048966705,2,0.5039505838089168,True,No Tóxico,False,Discurso de Odio
ADV-0084,F. Falsos amigos dialectales,cipote,cotidiano,Mi cipote entra a la universidad este año,Mi cipote entra a la universidad este año,No Tóxico,0,«Cipote» = niño en SV. En España es vulgar,0,0.6680065544804958,0,0.9665626133434383,True,No Tóxico,True,No Tóxico
ADV-0085,F. Falsos amigos dialectales,bicho,cotidiano,"No sea bicho, présteme el cuaderno un ratito","No sea bicho, présteme el cuaderno un ratito",No Tóxico,0,"Aquí «bicho» = tonto, en tono de broma",1,0.9891920871428924,1,0.9045518473428128,False,Lenguaje Ofensivo,False,Lenguaje Ofensivo
ADV-0086,F. Falsos amigos dialectales,vergón,cotidiano,Está bien vergón el carro que te compraste,Está bien vergón el carro que te compraste,No Tóxico,0,«Vergón» = excelente. Elogio pese a la raíz vulgar,1,0.9828113605517872,1,0.9208790563407505,False,Lenguaje Ofensivo,False,Lenguaje Ofensivo
ADV-0087,F. Falsos amigos dialectales,verga,cotidiano,"Qué verga, ni me acordaba de la reunión","Qué verga, ni me acordaba de la reunión",No Tóxico,0,"Interjección de sorpresa, sin destinatario",1,0.5826370926506117,1,0.895681665240118,False,Lenguaje Ofensivo,False,Lenguaje Ofensivo
ADV-0088,F. Falsos amigos dialectales,puta,cotidiano,"A la gran puta, qué frío está haciendo","A la gran puta, qué frío está haciendo",No Tóxico,0,"Interjección meteorológica, no dirigida a nadie",1,0.9853714543951619,0,0.6355953651272888,False,Lenguaje Ofensivo,True,No Tóxico
ADV-0089,F. Falsos amigos dialectales,puchica,cotidiano,"Puchica, se me olvidó el cumpleaños","Puchica, se me olvidó el cumpleaños",No Tóxico,0,"Eufemismo suavizado, equivale a «caramba»",0,0.9036076393252392,0,0.9600155361616516,True,No Tóxico,True,No Tóxico
ADV-0090,F. Falsos amigos dialectales,pedo,cotidiano,Anoche andaba bien pedo en la fiesta del barrio,Anoche andaba bien pedo en la fiesta del barrio,No Tóxico,0,"«Pedo» = ebrio. Descripción, no insulto",1,0.963653851023114,0,0.9651653690724052,False,Lenguaje Ofensivo,True,No Tóxico
ADV-0091,F. Falsos amigos dialectales,chero,cotidiano,Mi chero me acompañó al hospital toda la noche,Mi chero me acompañó al hospital toda la noche,No Tóxico,0,«Chero» = amigo,0,0.9865604939224436,0,0.9758877947696385,True,No Tóxico,True,No Tóxico
ADV-0092,F. Falsos amigos dialectales,pisto,cotidiano,Prestame pisto para el pasaje porfa,Prestame pisto para el pasaje porfa,No Tóxico,0,«Pisto» = dinero,0,0.8069579646900619,1,0.5127551511429544,True,No Tóxico,False,Lenguaje Ofensivo
ADV-0093,F. Falsos amigos dialectales,chivo,cotidiano,Qué chivo quedó el mural de la escuela,Qué chivo quedó el mural de la escuela,No Tóxico,0,"«Chivo» = bonito, chévere",0,0.9865471514719713,1,0.5061197090220206,True,No Tóxico,False,Lenguaje Ofensivo
ADV-0094,F. Falsos amigos dialectales,bayunco,cotidiano,Ese bayunco no sabe bailar pero se anima,Ese bayunco no sabe bailar pero se anima,No Tóxico,0,"«Bayunco» = torpe, en tono cariñoso",1,0.9630545635452717,2,0.6247987889828502,False,Lenguaje Ofensivo,False,Discurso de Odio
ADV-0095,F. Falsos amigos dialectales,chucho,cotidiano,El chucho de la vecina ladra toda la noche,El chucho de la vecina ladra toda la noche,No Tóxico,0,"«Chucho» = perro, literal",1,0.7868430230510972,1,0.8667131160292337,False,Lenguaje Ofensivo,False,Lenguaje Ofensivo
ADV-0096,F. Falsos amigos dialectales,chucho,cotidiano,No sea chucho y convide del almuerzo,No sea chucho y convide del almuerzo,No Tóxico,0,"«Chucho» = tacaño, reproche leve",0,0.7060581029089452,1,0.8423920851846989,True,No Tóxico,False,Lenguaje Ofensivo
ADV-0097,F. Falsos amigos dialectales,guaro,cotidiano,Vamos por unos guaros el viernes,Vamos por unos guaros el viernes,No Tóxico,0,«Guaro» = licor,0,0.986397561024936,0,0.5258041224659871,True,No Tóxico,True,No Tóxico
ADV-0098,F. Falsos amigos dialectales,chuco,cotidiano,Quedó bien chuco el patio con el lodo,Quedó bien chuco el patio con el lodo,No Tóxico,0,"«Chuco» = sucio, describe un patio",1,0.9375871779311997,0,0.8430302219342249,False,Lenguaje Ofensivo,True,No Tóxico
ADV-0099,F. Falsos amigos dialectales,cabal,cotidiano,Cabal a las seis nos vemos entonces,Cabal a las seis nos vemos entonces,No Tóxico,0,"«Cabal» = exacto, confirmación",0,0.9896407787172105,0,0.7385635610234493,True,No Tóxico,True,No Tóxico
ADV-0100,F. Falsos amigos dialectales,cachimbo,cotidiano,Había un cachimbo de gente en el mercado,Había un cachimbo de gente en el mercado,No Tóxico,0,«Cachimbo» = mucho,2,0.8922261085839029,2,0.4648320397009421,False,Discurso de Odio,False,Discurso de Odio
ADV-0101,F. Falsos amigos dialectales,chele,cotidiano,Mi chele ya cumplió el añito,Mi chele ya cumplió el añito,No Tóxico,0,«Chele» = de piel clara. Aquí afectivo hacia un bebé,1,0.9578411980671343,0,0.9379931581420016,False,Lenguaje Ofensivo,True,No Tóxico
ADV-0102,F. Falsos amigos dialectales,chibola,cotidiano,Se nos reventó la chibola en pleno partido,Se nos reventó la chibola en pleno partido,No Tóxico,0,«Chibola» = pelota,1,0.9529958742202185,1,0.850279213382945,False,Lenguaje Ofensivo,False,Lenguaje Ofensivo
ADV-0103,F. Falsos amigos dialectales,desmadre,cotidiano,Se armó el desmadre en la fiesta pero todo bien,Se armó el desmadre en la fiesta pero todo bien,No Tóxico,0,"«Desmadre» = alboroto, sin agresión",0,0.9234394951068977,2,0.6537001724980873,True,No Tóxico,False,Discurso de Odio
ADV-0104,F. Falsos amigos dialectales,codo,cotidiano,"Ese maje es bien codo, nunca invita","Ese maje es bien codo, nunca invita",No Tóxico,0,"«Codo» = tacaño, comentario ligero",1,0.8340716278839325,1,0.9596168788929469,False,Lenguaje Ofensivo,False,Lenguaje Ofensivo
ADV-0105,F. Falsos amigos dialectales,minutas,cotidiano,Nos tomamos unas minutas en el parque ayer,Nos tomamos unas minutas en el parque ayer,No Tóxico,0,«Minuta» = raspado de hielo,0,0.9862674648804582,0,0.9541671777755325,True,No Tóxico,True,No Tóxico
ADV-0106,F. Falsos amigos dialectales,pajero,agresivo,"Sos un pajero de mierda, no volvás a hablarme","Sos un pajero de mierda, no volvás a hablarme",Lenguaje Ofensivo,1,CONTRASTE: la misma palabra dirigida como agresión,1,0.9823811996986777,1,0.6277416535782355,True,Lenguaje Ofensivo,True,Lenguaje Ofensivo
ADV-0107,F. Falsos amigos dialectales,cerote,agresivo,Callate cerote hijo de puta,Callate cerote hijo de puta,Lenguaje Ofensivo,1,CONTRASTE: «cerote» como insulto real,1,0.9856370173565867,1,0.9357648339621042,True,Lenguaje Ofensivo,True,Lenguaje Ofensivo
